id	guid	telugu	roman	english	pronunciation	register	known_pct	new_words	island	rank	source	raw_rom	flags	notes	unlock_order	unlock_day
S0029	S8e9affcb6719	నా స్నేహితుడు. / నా స్నేహితురాలు.	nā snēhituḍu. / nā snēhiturālu.	"How do you say ""my friend"" when it's a boy? A girl?"			100				site	nā snēhituḍu. / nā snēhiturālu.		or just nā friend	965	65
S0030	S8c6c8c437de3	నా భర్త. / మా ఆయన.	nā bharta. / mā āyana.	"""My husband"" — everyday and traditional."			100				site	nā bharta. / mā āyana.		"""our respected he"""	374	25
S0031	S29c0fa371aca	మా నాన్న ఒక టీచర్.	mā nānna oka ṭīchar.	"""My father is a teacher."""			100				site	mā nāna oka ṭīcharu.		mā for family, loanword profession	68	5
S0032	S171e19e6d079	రండి	raṇḍi	Please come in (rā + aṇḍi) [respectful]		respectful	100				site	raṇḍi			61	5
S0033	Sa4466956f090	మీరు బాగున్నారా?	mīru bāgunnārā?	How are you? (lit. are you fine?) [respectful]		respectful	100				site,book1000	mīru bāgunnārā?		also: Are you okay ?	111	8
S0034	S0587d1598ed9	నేను బాగున్నాను.	nēnu bāgunnānu.	I'm fine.	NAY-noo BAA-goon-NAA-noo		100		Existence		site,anki,book1000	nēnu bāgunnānu.		also: I feel good	112	8
S0035	S5a15052a2215	అవునండి / సరే	avunaṇḍi / sarē	Yes / okay		respectful	100				site	avunandi / sarē			183	13
S0036	S675e5d1f2c85	వద్దండి	vaddaṇḍi	Someone offers you more food. You've had enough. [respectful]		respectful	100				site	vaddandi		declining = vaddu, not lēdu	732	49
S0037	S341961c6f0dd	కాదండి	kādaṇḍi	Someone assumes you're a teacher. You're not. [respectful]		respectful	100				site	kādandi		negating an identity statement = kādu	221	15
S0038	S4d65bb38cc48	లేదండి	lēdaṇḍi	Someone asks if there's any coffee left. There isn't. [respectful]		respectful	100				site	lēdandi		existence = lēdu	273	19
S0039	S6fcd7fec187f	క్షమించండి	kṣaminchaṇḍi	Sorry (lit. forgive me) [respectful]		respectful	100				site,book1000	kṣaminchandi		also: Excuse me; Pardon me	257	18
S0040	Sbe0393bce31e	పర్వాలేదు	parvālēdu	It was okay. / Not bad. / It's fine, don't worry about it.			100				site,book1000	parvālēdu		"Enormously versatile. It also means ""no problem"" when someone apologises, and ""it doesn't matter"" when someone offers something you're declining. Card this one today. · also: Never mind"	203	14
S0041	Sf66387c5d7ac	థాంక్స్ అండి	thānks aṇḍi	Thank a colleague in the way people actually do.		respectful	100				site	thanks aṇḍi		dhanyavādālu is formal/ceremonial only		
S0042	S9eebc155c7bf	శభాష్	śabhāṣ	Well done / congratulations			100				site	śabhāṣ			643	43
S0043	S20c5caa555d9	ఇది ఎంత?	idi enta?	Ask the price of something in front of you.	IH-dih EN-tuh		100		Questions		site,anki	idi enta?		idi from Lesson 1 + enta, no verb · also: How much is this?; How much does it cost?; How much does this cost?	95	7
S0044	S7328efd0fb4e	ఇదిగోండి	idigōṇḍi	Here you go [respectful]		respectful	100				site	idigōṇḍi			315	21
S0045	Sad170caef7c3	పదండి	padaṇḍi	Let's go [respectful]		respectful	100				site	padaṇḍi			228	16
S0046	S7479319731c9	తెలుగు రాదు.	telugu rādu.	Tell someone you don't know Telugu.			100				site	Telugu rādu.		"lit. ""Telugu doesn't come"""		
S0047	S3873475f7cfc	వస్తానండి	vastānaṇḍi	Say goodbye politely — and what does it literally mean?		respectful	100				site	vastānandi		"Literally ""I'll come back."""		
S0048	S50eebd372d49	ఇది కారు కాదు.	idi kāru kādu.	This is not a car.			100				site	idi kāru kādu.		denying the statement	49	4
S0049	S2dfd3b2d07f5	వద్దు, థాంక్స్ అండి.	vaddu, thānks aṇḍi.	No thanks. [respectful]		respectful	100				site	vaddu, thanks aṇḍi.		declining an offer		
S0050	Sc1c1ba6ba991	నమస్కారం అండి.	namaskāraṁ aṇḍi.	Greet someone respectfully — and what do your hands do?		respectful	100				site	namaskāram aṇḍi.		palms together, fingers pointing up — not a wave		
S0051	S39ae440b4a46	మీరు బాగున్నారా? / నేను బాగున్నాను.	mīru bāgunnārā? / nēnu bāgunnānu.	"""How are you?"" — ask it respectfully, then answer."		respectful	100				site	mīru bāgunnārā? / nēnu bāgunnānu.		both pronouns optional	112	8
S0052	Sf7aeb984aa7b	పెద్దమ్మ.	peddamma.	Your mother's elder sister.			100				site	peddamma.		"pedda + amma — ""elder mother"""	646	44
S0053	S4c275da054ce	పిన్ని.	pinni.	Your mother's younger sister.			100				site	pinni.		not a compound — its own word	647	44
S0054	S397784849a47	చిన్నాన్న.	chinnānna.	Your father's younger brother.			100				site	chinnāna.		"chinna + nāna — ""younger father"""	529	36
S0055	S359811cfc2a6	అత్త.	atta.	Your father's sister — and does her age matter?			100				site	atta.		No — age-neutral, like māmayya on the other side.	399	27
S0056	S6d1de060c311	అక్క / చెల్లి.	akka / chelli.	Elder sister and younger sister.			100				site	akka / chelli.			645	43
S0057	S90d1ad01f0ae	తాత గారు.	tāta gāru.	Address your grandfather respectfully.		respectful	100				site	tāta gāru.		gāru attaches to people, aṇḍi to phrases	528	36
S0058	Sea6067d94f6d	అత్త గారు / మామ గారు.	atta gāru / māma gāru.	Your mother-in-law and father-in-law.		respectful	100				site	atta gāru / māma gāru.		Same roots as the paternal aunt and maternal uncle.	461	31
S0059	S9e483f8d3333	అల్లుడు / కోడలు.	alluḍu / kōḍalu.	Son-in-law and daughter-in-law.			100				site	alluḍu / kōḍalu.			968	65
S0060	S6888273a9ea0	నేను అల్లుడిని.	nēnu alluḍini.	"""I am the son-in-law."" — mind the Lesson 2 sound rule."			100				site	nēnu alluḍini.		-ḍu → -ḍi before the person marker		
S0061	Sc1a7a3597733	మీ పేరు ఏమిటి?	mī pēru ēmiṭi?	Ask a stranger their name.		respectful	100				site,anki	mī pēru ēmiṭi?		respectful · stranger → always mī, never nī · also: What’s your name? (formal)	94	7
S0062	S47647860993a	మీ పేరెంటి?	mī pēreṇṭi?	Say that question the way it actually sounds at speed. [respectful]		respectful	100				site	mī pēreṇṭi?		pēru + ēnti — the vowel gets deleted	767	52
S0063	S5907381700a8	ఆయన పేరు.	āyana pēru.	"""His name"" using the formal pronoun."			100				site	āyana pēru.		unchanged	31	3
S0064	S70faab26c64f	వాళ్ళ పేర్లు.	vāḷḷa pērlu.	"""Their names"" for a group of people."			100				site	vāḷḷa pērlu.		vāḷḷu → vāḷḷa, and pēru → pērlu	190	13
S0065	Se86914d4796c	మా పేర్లు.	mā pērlu.	"""Our names"" — you're telling someone outside your group."			100				site	mā pērlu.		exclusive — they're not included	190	13
S0066	Sa1fc6f56c4bd	మన పేర్లు.	mana pērlu.	Now say it including your listener.			100				site	mana pērlu.		inclusive	190	13
S0067	Sbf35b412ecd8	ఆయన, ఆవిడ, ఆమె.	āyana, āviḍa, āme.	Which possessives are identical to their pronouns?			100				site	āyana, āviḍa, āme.			75	5
S0068	Sa609d95a71ac	ఇరవై ఒకటి	iravai okaṭi	21			100				site	iravai okaṭi			256	18
S0069	S9531e35bea13	ముప్పై ఏడు	muppai ēḍu	37			100				site	muppai ēḍu			527	36
S0070	S1577ef17d012	తొంభై తొమ్మిది	tombhai tommidi	Say 99.			100				site	tombhai tommidi			531	36
S0071	Sc12a71c46ddd	యాభై రూపాయలు.	yābhai rūpāyalu.	Fifty rupees.			100				site	yābhai rūpāyalu.			464	31
S0072	S163409917930	వంద రూపాయలు.	vanda rūpāyalu.	A hundred rupees.			100				site	vanda rūpāyalu.			463	31
S0073	Sf83c065e805d	నలభై రెండు.	nalabhai reṇḍu.	Say 42.			100				site	nalabhai reṇḍu.		ten word + unit, no connector	532	36
S0074	S6e3a1bfddb1c	మూడు వందలు.	mūḍu vandalu.	Say 300.			100				site	mūḍu vandalu.		multiplier + plural base	154	11
S0075	Sc39b33dfb976	రెండు వేలు ఏడు వందలు.	reṇḍu vēlu ēḍu vandalu.	Say 2,700.			100				site	reṇḍu vēlu ēḍu vandalu.		largest part first	414	28
S0076	S9b5cf48c2b11	ఇది ఎంత? / యాభై రూపాయలు.	idi enta? / yābhai rūpāyalu.	"""How much is this?"" — then answer ""fifty rupees."""			100				site	idi enta? / yābhai rūpāyalu.			464	31
S0077	S505701d5a9f6	పది మంది.	padi mandi.	"""Ten people."""			100				site	padi mandi.		mandi is the counter for larger groups	360	24
S0078	Sf5ed048e3559	5,000,000.	5,000,000.	"How much is ""fifty lakh"" in plain digits?"			100				site	5,000,000.		A lakh is 100,000. · A crore is 10,000,000.		
S0079	S36637a01c5ba	ఈ రోజు ఎట్ల గడిచింది?	ī rōju eṭla gaḍichindi?	How did today go?			100				site	ī rōju eṭla gaḍichindi?		Listen for: rōju (day) and eṭla (how). Those two words are enough to identify it.	345	23
S0080	S0f510881c5d5	బాగున్నారా?	bāgunnārā?	Are you well? [respectful]		respectful	100				site	bāgunnārā?		Listen for: bāgu- plus a rising -ā at the end. That final -ā is the yes/no question marker — the same one you met on the song page.	111	8
S0081	Sa3a32da02ce8	తిన్నారా?	tinnārā?	Have you eaten? [respectful]		respectful	100				site	tinnārā?		This one is coming whether you like it or not. See the follow-ups section — it matters more than the day question does.	292	20
S0082	Sd24677a533b0	బాగుంది	bāgundi	It was good. / It's good.			100				site	bāgundi		"Why you can already say this: it's bāgā (""well,"" Lesson 3) fused with undi (""it is,"" Lesson 1). Telugu doesn't need a separate past tense here — context carries it."	23	2
S0083	Se95cea49e422	చాలా బాగుంది అత్తయ్య	chālā bāgundi attayya	Very good, aunty.			100				site	chālā bāgundi attayya		"Why you can already say this: chālā (""very"") plus attayya — the address form of atta from Lesson 4, the word that does double duty for aunt and mother-in-law."	661	45
S0084	S5497650be3cb	ఈ రోజు ఆఫీసులో చాలా పని ఉంది	ī rōju āphīsulō chālā pani undi	There was a lot of work at the office today.			100				site	ī rōju āphīsulō chālā pani undi		"Why you can already say this: -lō is the ""in"" ending, and undi is Lesson 1's ""there is."" Literally: today office-in much work is. No verb conjugation anywhere."	662	45
S0085	S8ddea585c960	కొంచెం అలిసిపోయాను	koncheṁ alisipōyānu	I'm a bit tired.			100				site	konchaṁ alisipōyānu		"Learn this as a block. alisipōyānu is past tense with a first-person ending — Lesson 9 territory. You'll take it apart later; for now it's one word. konchaṁ (""a little"") is independently useful and softens almost anything."	663	45
S0086	S4201e86da560	ఈ రోజు కొంచెం కష్టం	ī rōju koncheṁ kaṣṭaṁ	Today was a bit hard.			100				site	ī rōju konchaṁ kaṣṭaṁ		Why you can already say this: zero copula from Lesson 1 — no verb at all. Today a-little difficulty. kaṣṭaṁ is a high-frequency word worth knowing.	422	29
S0087	Sff7bf1420469	బాగుంది, చాలా పని చేసాను	bāgundi, chālā pani chēsānu	It was good — I did a lot of work.			100				site	bāgundi, chālā pani chēsānu		"The direct version. chēsānu is ""I did"" — past tense with the first-person -nu ending you know from unnānu. Memorise it whole for now; Lesson 9 explains the shape."	34	3
S0088	Se663736515a5	బాగుంది, చాలా పని అయ్యింది	bāgundi, chālā pani ayyindi	It was good — a lot of work got done.			100				site	bāgundi, chālā pani ayyindi		"This is the one I'd actually use. See the note below: Telugu reaches for ""it got done"" far more readily than ""I did it,"" and in a family setting that framing lands better."	24	2
S0089	S32afcf2ced23	బాగుంది, ఒక మంచి పని పూర్తి అయ్యింది	bāgundi, oka manchi pani pūrti ayyindi	It was good — a good piece of work got finished.			100				site	bāgundi, oka manchi pani pūrti ayyindi		Look at oka doing exactly its job. This is the deep-dive use: one newly introduced thing the listener doesn't know about yet. Drop it and the sentence goes vague. And manchi is the Lesson 3 “good” — the adjective form of manchidi.	660	44
S0090	S4e468ffb8a77	కానీ దారిలో ట్రాఫిక్ చాలా ఎక్కువ ఉంది	kānī dārilō ṭrāphik chālā ekkuva undi	But there was a lot of traffic on the way.			100				site	kāni dārilō ṭrāphik chālā ekkuva undi		Only three new words. kāni (but), dāri (way, road), ekkuva (a lot, excessive). Everything else you have: -lō from āphīsulō, plus chālā and undi.	544	37
S0091	S3ca1adf3a80c	మీరు ఎట్ల ఉన్నారు?	mīru eṭla unnāru?	How are you? [respectful]		respectful	100				site	mīru eṭla unnāru?		Why you can already say this: mīru from Lesson 1, unnāru is the same existence verb with the respectful ending. The only new piece is eṭla.	81	6
S0092	Sdc2edf764362	ఇంట్లో అంతా బాగున్నారా?	iṇṭlō antā bāgunnārā?	Is everyone at home well? [respectful]		respectful	100				site	intlō antā bāgunnārā?		"A very Telugu thing to ask. Enquiring after the whole household rather than the individual is standard and lands as warm. intlō is illu (""house"") plus the -lō you used above."	111	8
S0093	Sff7cf9397624	మీ రోజు ఎట్ల గడిచింది?	mī rōju eṭla gaḍichindi?	How did your day go? [respectful]		respectful	100				site	mī rōju eṭla gaḍichindi?		"Straight mirroring. Take her question and swap in mī (""your,"" Lesson 5). Reusing someone's own construction back at them is the cheapest fluency trick there is, and it always fits."	345	23
S0094	Sbcac43a2e07f	ఈమె సీత.	īme sīta.	This nearby woman is Sita.			100				site	īme Sīta.				
S0095	S6f1415027e3e	సీత కూడా విద్యార్థి.	sīta kūḍā vidyārthi.	Sita is also a student.			100				site	Sīta kūḍā vidyārthi.				
S0096	Saf743b06e6dc	వీళ్ళు విద్యార్థులు.	vīḷḷu vidyārthulu.	Produce: “These people are students.”			100				site	vīḷḷu vidyārthulu.			526	36
S0097	Seaca994453eb	ఆయన టీచర్.	āyana ṭīchar.	That gentleman is a teacher.			100				site	āyana ṭīcharu.			67	5
S0098	S4ecb9a349797	ఈవిడ కూడా టీచర్.	īviḍa kūḍā ṭīchar.	Produce: “This lady is also a teacher.”			100				site	īviḍa kūḍā ṭīcharu.				
S0099	S63ded33195cb	ఇది కారు.	idi kāru.	This is a car.			100				site	idi kāru.			49	4
S0100	Sd2714d983ee3	అది కారు.	adi kāru.	Change near to far: idi kāru.			100				site	adi kāru.			49	4
S0101	S70fcce27601f	వాళ్ళు విద్యార్థులు.	vāḷḷu vidyārthulu.	Those people are students.			100				site	vāḷḷu vidyārthulu.			526	36
S0102	S1819e6e40272	ఆమె టీచర్.	āme ṭīchar.	“She is a teacher.” Neutral statement of profession.			100				site	āme ṭīcar.		bare predicate; English “a” does not need translation.	67	5
S0103	S472dd5e19ab6	ఒకటి ఇవ్వండి.	okaṭi ivvaṇḍi.	“Give me one.” The noun is already understood. [respectful]		respectful	100				site	okaṭi ivvaṇḍi.		independent okaṭi, not bare oka. · The item is understood, so independent okaṭi takes its place.	162	11
S0104	S294dbb1ed53c	నేను ఒక పుస్తకం కొన్నాను, రెండు కాదు.	nēnu oka pustakaṁ konnānu, reṇḍu kādu.	“I bought one book, not two.”			100				site	nēnu oka pustakaṁ konnānu, reṇḍu kādu.		exact count makes oka meaningful.		
S0105	S8d891640f3f8	పుస్తకం బల్ల మీద ఉంది.	pustakaṁ balla mīda undi.	“The book is on the table.” Both speakers know which book.			100				site	pustakaṁ balla mīda undi.		context can identify a bare noun; ā pustakaṁ if you need to point it out. · if both people know which book. A bare noun is not automatically indefinite.		
S0106	S275e9f445d36	ఒక పుస్తకం	oka pustakaṁ	one book			100				site	oka pustakaṁ		or “a book.” Oka modifies the noun that follows it.	74	5
S0107	S270b5c9d8d6f	ఒక పుస్తకం తీసుకోండి	oka pustakaṁ tīsukōṇḍi	Take a/one book. [respectful]		respectful	100				site	oka pustakaṁ tīsukoṇḍi		Context decides how strongly the count matters.	74	5
S0108	S3f03b0cbb6ce	నేను పుస్తకం కొన్నాను	nēnu pustakaṁ konnānu	I bought a book / the book.			100				site	nēnu pustakaṁ konnānu		The point may simply be what you bought.		
S0109	Se1813f96b06b	నేను ఒక పుస్తకం కొన్నాను	nēnu oka pustakaṁ konnānu	I bought a/one book.			100				site	nēnu oka pustakaṁ konnānu		One book is placed into the conversation, especially naturally if you will say more about it.		
S0110	Scdd289288cb1	ఆమె డాక్టర్	āme ḍākṭar	She is a doctor.			100				site	āme ḍākṭar		This is the normal classification pattern. English requires a; Telugu does not.	150	10
S0111	Sacf16dd4f914	ఆమె ఒక మంచి డాక్టర్	āme oka manchi ḍākṭar	She is a good doctor.			100				site	āme oka manci ḍākṭar		Oka presents her more deliberately as one member/example of that category. Bare āme manci ḍākṭar is also natural.	150	10
S0112	Sd3be5a74e9c1	ఆ పుస్తకం బల్ల మీద ఉంది	ā pustakaṁ balla mīda undi	That book is on the table.			100				site	ā pustakaṁ balla mīda undi		For an identifiable object, a demonstrative such as ā often does the job—not oka.		
S0113	Sceb255bc534e	పది నిమిషాలు ఆగండి	padi nimiṣālu āgaṇḍi	Please wait ten minutes. [respectful]		respectful	100				site	padi nimiṣālu āgaṇḍi		The quantity is presented directly.		
S0114	S011a558eddc2	ఒక పది నిమిషాలు ఆగండి	oka padi nimiṣālu āgaṇḍi	Please wait about ten minutes. [respectful]		respectful	100				site	oka padi nimiṣālu āgaṇḍi		In contemporary speech, oka can soften a following quantity into an estimate.		
S0115	S43ad346c61ef	ఆయన మా నాన్న. ఆయన పేరు మూర్తి.	āyana mā nānna. āyana pēru mūrti.	That is my father. His name is Murthy.			83	mūrti			site	āyana mā nāna. āyana pēru Murthy.		also: formal — unchanged		
S0116	Sd0fe162d379b	ఆవిడ మా అమ్మ. ఆవిడ పేరు సునీత.	āviḍa mā amma. āviḍa pēru sunīta.	That is my mother. Her name is Sunita.			83	sunīta			site	āviḍa mā amma. āviḍa pēru Sunita.		also: formal — unchanged		
S0117	S2557309a838b	ఆమె మా అక్క. ఆమె పేరు దివ్య.	āme mā akka. āme pēru divya.	She is my elder sister. Her name is Divya.			83	divya			site	āme mā akka. āme pēru Divya.		also: neutral — unchanged		
S0118	S330567d5fbff	అతను మా చిన్నాన్న. అతని పేరు సంజయ్.	atanu mā chinnānna. atani pēru sanjay.	He is my father's younger brother. His name is Sanjay.			83	sanjay			site	atanu mā chinnāna. atani pēru Sanjay.		also: neutral — u→i		
S0119	S2d99769c97ca	వాడు నా ఫ్రెండ్. వాడి పేరు పీటర్.	vāḍu nā phreṇḍ. vāḍi pēru pīṭar.	He is my friend. His name is Peter.		informal	83	pīṭar			site	vāḍu nā friend. vāḍi pēru Peter.		also: informal — u→i		
S0120	S814319983138	రవి విద్యార్థి. సీత కూడా విద్యార్థి.	ravi vidyārthi. sīta kūḍā vidyārthi.	Who is a student?			80	ravi			site	Ravi vidyārthi. Sīta kūḍā vidyārthi.				
S0121	S06912cb25b56	నా డాక్టర్ పేరు సోఫియా.	nā ḍākṭar pēru sōphiyā.	"""My doctor's name is Sophia."""			75	sōphiyā			site	nā ḍākṭar pēru Sophia.		no apostrophe-s, just stack		
S0122	S9932e790523c	నమస్కారం. నా పేరు రవి.	namaskāraṁ. nā pēru ravi.	Hello. My name is Ravi.			75	ravi			site	namaskāraṁ. nā pēru Ravi.				
S0123	S986353df6179	రెండు కార్లు / ఇద్దరు.	reṇḍu kārlu / iddaru.	"""Two cars"" and ""two people"" — why are they different?"			75	kārlu			site	reṇḍu kārlu / iddaru.		People take the special -ru counting forms.		
S0124	S420b22b71415	ఒక రామయ్య ఫోన్ చేశాడు.	oka rāmayya phōn chēśāḍu.	“Someone called Ramayya called.” The listener does not know him.			75	rāmayya			site	oka Rāmayya phōn cēśāḍu.		oka gives “a certain / someone named.” · The identity is not assumed to be known.		
S0125	Sebbc0faa2215	ఒక మనిషి తలుపు తట్టాడు	oka maniṣi talupu taṭṭāḍu	A man knocked on the door.			75	taṭṭāḍu			site	oka maniṣi talupu taṭṭāḍu		One previously unknown man enters the story and can now be referred to again.		
S0126	S60129fe3130f	రాజ్ ఒక విద్యార్థి.	rāj oka vidyārthi.	Raj is a student.			67	rāj			site	Raj oka vidyārthi.				
S0127	S7c740120d336	నేను సోఫియా ని.	nēnu sōphiyā ni.	"""I am Sophia."""			67	sōphiyā			site	nēnu Sophia ni.		"nēnu + name + the ""I"" marker -ni"		
S0128	S29cf5c1a561b	నా పేరు రాజ్.	nā pēru rāj.	My name is Raj.			67	rāj			site	nā pēru Raj.				
S0129	Sd89ccb75db9e	మా ఊరు హైదరాబాద్.	mā ūru haidarābād.	Our town is Hyderabad.			67	haidarābād			site	mā ūru Hyderabad.				
S0130	S98389220950b	మా ఊరు హైదరాబాద్. / మాది హైదరాబాద్.	mā ūru haidarābād. / mādi haidarābād.	You're from Hyderabad — two ways.			67	haidarābād haidarābād			site	mā ūru Hyderabad. / mādi Hyderabad.				
S0131	Sace860cc00ad	అది నా క్లాస్‌మేట్. దాని పేరు గీత.	adi nā klāsmēṭ. dāni pēru gīta.	That's my classmate. Her name is Gita.			67	klāsmēṭ gīta			site	adi nā classmate. dāni pēru Gita.		also: informal — new form		
S0132	S7dfe9a81f168	అతని పేరు సంజయ్.	atani pēru sanjay.	"""His name is Sanjay"" — neutral register."			67	sanjay			site	atani pēru Sanjay.		atanu → atani		
S0133	S2244ad3414dc	ఆమె పేరు దివ్య.	āme pēru divya.	"""Her name is Divya"" — neutral register."			67	divya			site	āme pēru Divya.		āme doesn't change		
S0134	Sd01549fab698		oka maniṣi vaccāḍu.	“A man came.” He is new to the story.			67	vaccāḍu			site	oka maniṣi vaccāḍu.	needs-script	oka introduces one new participant.		
S0135	Secbce93005be	ఒక్క పుస్తకమే తీసుకోండి	okka pustakamē tīsukōṇḍi	Take only one book. [respectful]		respectful	67	okka			site	okka pustakamē tīsukoṇḍi		The doubled kk plus -ē excludes alternatives explicitly.		
S0136	Se9b904997755	మనిషి తలుపు తట్టాడు	maniṣi talupu taṭṭāḍu	Literally “man knocked on the door.”			67	taṭṭāḍu			site	maniṣi talupu taṭṭāḍu		Possible in context, but abrupt as a story opening; it can sound as if the man is already identifiable.		
S0137	Sff573fd3de7b	రామయ్య ఫోన్ చేశాడు	rāmayya phōn chēśāḍu	Ramayya called.			67	rāmayya			site	Rāmayya phōn cēśāḍu		The name is enough for the listener to know who you mean.		
S0138	S7ec8198b1b5d	రాజ్ విద్యార్థి.	rāj vidyārthi.	Raj is a student.			50	rāj			site	Raj vidyārthi.				
S0139	Sdd53f97e00f9	మాది హైదరాబాద్.	mādi haidarābād.	Ours is Hyderabad.			50	haidarābād			site	mādi Hyderabad.		the common form		
S0140	Sd88e00d9ad6f	ఇంగ్లీష్ తెలుసా?	inglīṣ telusā?	Do you know English?			50	inglīṣ			site	English telusā?				
S0141	Sfafac9a601dd	వాళ్ళ పేర్లు పీటర్, గీత.	vāḷḷa pērlu pīṭar, gīta.	Their names are Peter and Gita.			50	pīṭar gīta			site	vāḷḷa pērlu Peter, Gita.		also: plural — u→a, noun takes -lu		
S0142	S84aacb8cd72e		dāni (from adi) and vāṭi (from avi) — both neuter.	Which two possessives are completely new words?			50	(from and (from both neuter			site	dāni (from adi) and vāṭi (from avi) — both neuter.	needs-script			
S0143	S577259c02d3d	ఏం చేసారు?	ēṁ chēsāru?	What did you do? [respectful]		respectful	50	ēṁ			site	ēṁ chēsāru?		"Listen for: ēṁ (what). The -āru ending is the respectful ""you"" form — she's being polite to you."		
S0144	Sb67392e5da10	ఇతను రవి.	itanu ravi.	This nearby man/person is Ravi.			50	ravi			site	itanu Ravi.				
S0145	S26fb577083c9	రవి విద్యార్థి.	ravi vidyārthi.	Ravi is a student.			50	ravi			site	Ravi vidyārthi.				
