guid	te	en
W01d6c7d86b7a	మూడు	three
W4c4ece041865	తన	own (his/her own — points back to the subject)
W02db57fa7410	వెళతాడా	does he go?
W78d6482a12ea	నాలుగు	four
Wb8cda5ef17c5	పొద్దున	morning, in the morning (no "in" needed)
W4ec066f3a8a5	ఏడు	seven
W28807c73efb7	మొదలవుతుందా	does it start?
Wc889998782db	కాదు	no — it is not (negating a statement)
Wcca0e02f9bbe	అది	it / she (informal) — that one
Wb2aca1beeeb4	ఐదు	five
W5bbed7f5b46f	రెస్టారెంట్	restaurant
W685d864fcd3d	లో	in, at (no distinction in Telugu)
W6780a6c005ef	వంట	cooking
W4a1df8c120d5	వాడా	is he …?
W0eb84beba12a	దేశం	country; nation
W5eb6d4441ec6	నుండే	from (that one only)
Wfdbe5fa6bb8d	వస్తారా	do they come?
W37341a2c2a26	ఉంటారు	uṇḍu — be, stay, live, exist (the to-be verb)
W18e282764ee3	ఉంటారా	are they (habitually)?
Wc60f44fcdf5b	ఎనిమిది	eight
W46c8efac7282	సంతోషపడుతాడా	does he feel happy?
W57a57adcf03d	డస్టిన్	Dustin (name)
W8f4f6c298968	సెలవుకు	selavu (holiday, leave) + -ku (-ku — to, for (dative; goes after the noun))
Wd2267df5ead0	వెళ్లాలనుకుంటున్నాడు	he wants to go
We3aa85ba3e30	శీతాకాల	winter
W513670c8e4d8	సెలవుతో	selavu (holiday, leave) + -tō (with (goes after the noun))
W8bb8e1813fc1	ఉత్సాహంగా	excited, enthusiastically
W4f0085662af1	ఉన్నాడు	is (he is)
W4064f4d17d89	ఈ	this / these (before a noun — ī rōju "today"; standalone "these" is ivi)
W014908d333a3	శీతాకాలంలో	winter
W54054d7d8c5a	అతనికి	to him (neutral)
Wff9fab5b2463	కొంత	some, a certain amount
Wb2b55d86aabd	విశ్రాంతి	rest
Wa371ee6bb131	దొరికింది	found (it)
We4909113b5cd	వారాల	of weeks
Wc994594b7a20	పాటు	for (a stretch of time)
W9510e4b82343	వెళ్లాల్సిన	having to go, required to go
Wa402b0d6da1d	అవసరం	need / necessity; necessary
Wbbe3c5d601c4	సెలవులకు	selavu (holiday, leave) + -la (-la — the plural -lu in its oblique form, used before anothe) + -ku (-ku — to, for (dative; goes after the noun))
W1b90731bae13	ఎక్కడికైనా	anywhere, somewhere or other
Wf8030fb3a3ed	వెళ్లాలని	that (one) should go
W52628d60fa05	అనుకుంటున్నాడు	he is thinking, he wants to
W6836b1b1b847	కానీ	but
W4d509109b075	ఎక్కడి	of where, which place
W1d0f1228f97f	వెళ్లాలో	where to go (in an embedded question)
W3acf67a7f760	సరిగ్గా	exactly, properly
W33c019b799ef	తెలియదు	(he) doesn't know
W8b09796fd65c	ఫ్రాన్స్	France
Wd2f33cc899e8	కి	to (goes after the noun)
W612391fdc742	ఆలోచిస్తున్నాడు	ālōchinchu — think, consider
Wb20fbb49a45e	వెళ్ళడం	going
Wdeb0c623b232	ఖర్చుతో	kharchu (expense; spend) + -tō (with (goes after the noun))
Wa280bb879cc3	కూడుకున్నది	one that involves
W8bb7c0d7a3c6	విమాన	air-, aeroplane
W43f903e61a17	టికెట్ల	ṭikeṭ (ticket (loanword)) + -la (-la — the plural -lu in its oblique form, used before anothe)
W14ac4eebc59c	ధర	price; cost
W2f2f54a33620	ఎక్కువ	a lot, excessive (of quantity)
W6a13c1ec8fa5	అంతేకాక	besides, moreover
W0a5b1297e9ab	కు	-ku — to, for (dative; goes after the noun)
Wdddb0bc9a9d0	ఫ్రెంచ్	French (the language)
We7cda23731a4	మాట్లాడడం	speaking
W6f0698d4620e	రాదు	doesn't come — used for "I don't know [a language]"
W353f5a99d940	ఇంటి	of the house, home
Wfe9bc29f8e44	పట్టునే	right at, staying put at
W5adb5c590dc7	ఉంటూ	staying, while being
W898c3f8198cc	చదువుకుంటూ	studying (for oneself)
W5d71f225e608	డబ్బు	money
W3d16b3d25104	ఆదా	saving
W27f7eb9c8a8d	చేయాలని	intending to do / that (one) should do
W87b0034dbf37	నిర్ణయించుకున్నాడు	he decided
Wf164c24ed98a	ఉన్నాను	I am / I exist (present)
W7af1f0718300	నాకు	to me (nā + ku, never nēnu + ku)
Wde8e76386bd4	ఎక్కడికి	to where
W40c1d8fac039	ఆలోచిస్తున్నాను	ālōchinchu — think, consider
W9257372750a2	అనుకుంటున్నాను	think
Wa1d20608c654	నిర్ణయించుకున్నాను	I decided
W14ab01d1d3ed	ఉన్నాడా	is he?
We6e4dfdc5a6f	దొరికిందా	did (he) get it?
Weaf85738360f	అనుకుంటున్నాడా	is he thinking of …?
W2a61f52744ed	ఇంట్లో	at home, in the house
Wdbff3740f6e9	ఉండడానికి	stay
Wd81914c67a6e	ఇష్టపడడం	liking
W73acad3a3d0a	తెలియడం	knowing
W208f889ffdab	తెలుసా	do you know?
Waef6f98d6a78	ఆలోచిస్తున్నాడా	is he thinking?
W2303b75a1536	తక్కువ	less / few; low
W6a6f3772f1c6	కూడుకున్నదా	does it involve …?
W033cb402c505	వచ్చా	does (he) know it? / did it come?
W734d09de3d15	నేర్చుకోవాలని	that (he) should learn
W08626e1c0ed0	నిర్ణయించుకున్నాడా	did he decide?
Wf481bb3e9553	సెలవుల్లో	during the holidays
Wc131b4226612	నేర్చుకుంటూ	learning, while learning
We7c1f37a6cf7	కారెన్	Karen (name)
W20137fb3189b	పిల్లిని	pilli (cat) + -ni (-ni — marks the direct object, after stems ending -i or -u)
W7f334302fd32	కొంటుంది	she buys
We1bdbe3a26bc	కరెన్	Karen
Wed90f96bfb2e	పనిలోనూ	at work too
W73e28d7b1aa7	ఇంట్లోనూ	at home too
W668351b78da8	బోర్	bored, boring
W0f6f26765b37	కొడుతోంది	it is striking
Wcffbd763392a	ఆమె	she (neutral — the default form)
Wbd0ac31bcf14	ప్రతి	every, each (goes before the noun)
Wacea7b9047af	రోజూ	daily, every day (rōju with the vowel lengthened)
W391561a91045	అదే	same
Wcfb6c89d2788	చేస్తుంది	he/she/it does (3rd person)
W6b72d39f33e6	ఆమెకు	āme (she (neutral — the default form)) + -ku (-ku — to, for (dative; goes after the noun))
W85137b0a81f0	కొత్త	new (bare: kotta kāru)
W3e79fb4fc9b6	హాబీ	hobby
W08c5d42bc429	కావాలనుకుంటోంది	she wants
W7fece5554584	మొదటిగా	modaṭi (first (irregular)) + -gā (-gā — turns a noun into a description)
W10d2072bf204	చేయడానికి	chēyi — do, make — also carries any English verb; hand
Wb4203cd2eb33	ప్రయత్నించింది	she tried
W370d4e9dc6cc	వండిన	cooked, that (she) cooked
W179e138e4a2a	రుచిగా	ruchi (taste) + -gā (-gā — turns a noun into a description)
W27433e7476f8	తర్వాత	afterwards, later, after
W778cebd10ea5	ఈత	swim
W7057a78b45d5	కొట్టడం	Beating
W71c94d8da889	నీళ్ళు	water (grammatically plural — takes unnāyi)
W49dca83cd7c5	అంటే	as for, the thing about (hinge in the iṣṭaṁ frame)
W346ecfa33a31	భయం	fear
W5fa1ed11edbd	కరేన్	Karen
W225d04bfec7a	ఇంటికి	to home, homewards (illu + -ki)
W32fb092fb057	నడుచుకుని	naḍuchu (to walk (base)) + -ku (-ku — to, for (dative; goes after the noun)) + -ni (-ni — marks the direct object, after stems ending -i or -u)
Wa041343e8fbb	వెళ్తూ	while going
W3e60ae803251	పెంపుడు	pet, domesticated
W987d3d9de44b	జంతువుల	jantuvu (animal) + -la (-la — the plural -lu in its oblique form, used before anothe)
Wa46ab8a5195b	దుకాణాన్ని	the shop (as object)
W87bd5eddef87	చూసింది	chūḍu — see, watch
W8a56b152544b	దుకాణంలో	dukāṇaṁ (shop (Urdu)) + -lō (in, at (no distinction in Telugu))
W43627b2eded9	పిల్లి	cat
Wba9619e7d9f7	కొనుక్కుని	having bought (for oneself)
Wcb8e2de560b0	సంతోషంగా	happy, happily
W8b11ef84fae5	ఉంది	is — observation right now (she/it)
W0a009830b1d1	చేస్తాను	I will do (future)
W8e2a5b7e8823	కావాలి	is wanted — "nāku X kāvāli" = I want X
W72834506e724	చేయడం	doing, making
W181ed15c20dd	ప్రయత్నించాను	I tried
Wbc6e8d996f5e	నీళ్లంటే	as for water
W505c02906d35	నడుచుకుంటూ	walking along
W6c868e4a278b	చూశాను	I saw
W016932eadab0	కొన్నాను	I bought
Wb66958ae9131	ఇప్పుడు	now, right now
Wee26078c04f7	పనిలో	pani (work, task (pairs with chēyi)) + -lō (in, at (no distinction in Telugu))
W3a64bd760544	ఉందా	is there? / does (he) have?
W8268cf72913f	పనులు	tasks, things to do
W146d8dcbef8e	చేస్తుందా	does she do?
W6301767746d0	కావాలనుకుంటోందా	does she want …?
W18a5e154d05b	మంచి	good, fine (goes straight before a noun: manchi pani)
W6cc67e75316a	మనిషి	person / human being; man
W5c21c5bd4da9	కాదా	is it not?
W286666dd3ee1	ఉండదు	uṇḍu — be, stay, live, exist (the to-be verb)
W028d7b0dd1ab	ఇష్టమా	is it liked? / do (you) like?
W77fd5124891c	ఇష్టం	liking — used as "nāku X aṇṭē iṣṭaṁ", not with nēnu; Like
Wadcad479dcaf	చూసిందా	did she see?
Wcdeeae813af4	కొనుక్కుంది	she bought (for herself)
W2c2a2c60d4ec	కొనుక్కుందా	did she buy?
W4e3c6a53a151	ఆమెతో	āme (she (neutral — the default form)) + -tō (with (goes after the noun))
Wcb8ff7858e94	కాబట్టి	therefore, so (after the cause)
Wc21b899c7de0	కొడుతోందా	is it striking?
W089baf3e1d05	కూతురు	daughter
Wc917c8c7f2f7	విద్యార్థిని	vidyārthi (student) + -ni (-ni — marks the direct object, after stems ending -i or -u)
Wddaa51eafdef	ప్రతిరోజూ	every day
We0fef98c5d87	స్కూలుకు	to school
W222b91aa3cec	వెళ్తుంది	he/she/it goes (3rd person)
We7efb95f0de7	స్కూల్	school
W23decfe9b44f	స్కూల్లో	skūl (school) + -lō (in, at (no distinction in Telugu))
W46dd18abe93e	విద్యార్థి	student
W9ede62fb6911	కూతురంటే	as for the daughter
W84b0afcf47ae	టీచర్	teacher (loanword)
Wf6ac91a35b1d	కూతురుకి	kūturu (daughter) + -ki (to (goes after the noun))
W92f5931b8c61	ఫ్రెండ్స్	friends
Wd72c8bed7cd3	ఉన్నారు	are (you-formal are)
W78aa13fd753b	బెస్ట్	best
W5f9648a82830	ఫ్రెండ్	friend (loanword, common)
Wd940468a4af5	యేమి	Amy
W9eac7aa2c72e	యేమికి	to Amy, Amy (as experiencer)
Wd964d9901e5e	మ్యాథ్స్	maths
Waf7ad9d3b0ab	సైన్స్	science
W99b3ef0e4169	కూతురికి	to the daughter
W46a53227ba44	ఇంగ్లీషు	English (the subject)
W2218ca19abdb	హిస్టరీ	history (the subject)
W7c118149c399	హోంవర్క్	homework
W85762ef3ac41	ఒకరికొకరు	each other
W72fcdda8dd36	సహాయం	help / assistance (Telugu)
W70256ce11e7a	చేసుకుంటారు	they do (for themselves)
W1aff8c59023c	కష్టపడి	having worked hard
Wae9b96b4c849	చదువుతూ	studying, while studying
W3b5cdfce8dd1	బాగా	well / nicely
W15ddd4a2cb4a	రాణిస్తారు	they do well, they excel
Wc2dd639d8ff1	వెళ్తాను	I will go (future)
Wc61a50ce98b7	నేనంటే	as for me
W21a6d2e4fa49	మా	our (before a noun — also "my" for close family)
W0dcaa9db4bd2	టీచర్లకు	ṭīchar (teacher (loanword)) + -la (-la — the plural -lu in its oblique form, used before anothe) + -ku (-ku — to, for (dative; goes after the noun))
W3ee15a1e5549	కూడా	also / too; even
W31c46b7f4e68	మరియు	and (the word; -ū on both items is commoner in speech)
We29055da4751	ఇంగ్లీష్	English (the language)
Wf98f79153b5f	మేము	we (exclusive — not the listener)
W12358fbae973	చేసుకుంటాము	we do (for ourselves)
Wf8984884123d	రాణిస్తాము	we do well
W68bb1eba3e54	వెళ్తుందా	does she go?
Wb08687935e12	చెడ్డ	bad
Wa4233c04d3d6	విద్యార్థినా	is (she) a student?
W8992dffc0f5a	ఆమెను	āme (she (neutral — the default form)) + -nu (won't / don't (negative future))
W802cb4237c8a	టీచర్లు	ṭīchar (teacher (loanword)) + -lu (-lu — the general plural suffix)
W808d8266612a	ఇష్టపడుతారు	they like
We5e519f2d687	పేరు	name (long ē — not like the country Peru)
Wf5311522b9f0	జూలీ	Julie
Wc1017f35a948	రాణిస్తుందా	does she do well?
W640e1741f6d1	జాన్కు	to Jon / for Jon
W6cbc0e741c8a	జోన్	Jon
Wc4d9db5676ef	హై	high
W0f8b824e6a66	క్లేర్	Clare (name)
W77e3a5fac257	విశ్వవిద్యాలయ	university
W507b955eda56	కంప్యూటర్లో	kampyūṭar (computer (loanword)) + -lō (in, at (no distinction in Telugu))
Wb2be95db204d	ఆడుకోవడమంటే	as for playing
W5f13c30646da	చదవడం	reading (the act of)
W27310bcdbfbb	వ్రాయడమంటే	as for writing
W1b3fb8ee43a1	వాళ్ళ	their (people)
Wf911a2a79b7f	అక్క	elder sister
W5117894e56ae	ఎల్లప్పుడూ	always
Wb518e860ce6f	చేత	by (the one made to act)
Wf862a0dc7475	చేయిస్తూ	making (someone) do
Wc6ad6b6a5d59	ఉంటుంది	is — a standing fact, in general (she/it)
We20a72864445	ఆడుకోవడం	playing
Wcdea2143510c	విద్యార్థా	is (he) a student?
Wde2037608a48	ఉంటుందా	is there? / does it stay?
W85a8f060c727	హైస్కూల్	high school
W2fb27a546482	వ్రాయడం	writing
W90f020740fd6	సినిమాలు	sinimā (movie, cinema) + -lu (-lu — the general plural suffix)
Wc740924efb03	చూడడం	watching, seeing
Wc52ca7fa64d7	యొక్క	's — formal and written only, never spoken
Wea38484ec769	సంబంధం	relationship
W643ab6117c29	జేన్	Jane
W716454c39316	ఫ్రెడ్	Fred
Wbe1dd34b1f99	రాత్రి	night, at night
W48719ae31ec4	అలసిపోయారు	they got tired
W1f3ba0373c3e	డిన్నర్	dinner (loanword)
W0b32307ccb01	తిన్నారు	tinu — eat
W1abbf74ea6a5	కొడుకు	son
W600ae7577475	వారితో	vāri (their) + -tō (with (goes after the noun))
Wf9cfc0686da6	కలిసి	together
W3846f552dce7	తిన్నాడు	tinu — eat
W678e87da51ca	రిలాక్స్	relax (loanword)
Wb94ac3309d69	అయ్యి	having become
W784d579fcd44	టీవి	TV
W18b0271afe51	చూశారు	they watched
W09eaf39d1e19	చూశాడు	he watched
W09a7d89125fe	కొడుకుని	koḍuku (son) + -ni (-ni — marks the direct object, after stems ending -i or -u)
W7653c2efe407	నిద్రపుచ్చారు	they put (someone) to sleep
W15e35726831d	వేడి	heat; hot (bare, also the noun)
W633eb0a90344	నీటితో	nīṭi (water) + -tō (with (goes after the noun))
W876879ec4757	స్నానం	a bath, a wash
Wae8bf30d39db	చేసింది	did
W820b635c1ad1	పళ్ళు	teeth
W3024ca222f72	తోముకున్నాడు	he brushed (his own)
W6233ebee83d0	పుస్తకం	book
Wca1f1ad348d2	పోయింది	she went / it went
Waa3ab9c1483c	కాసేపటికి	after a little while
Wa7f3baf21efa	నిద్రపోయాడు	he fell asleep
W7a7857bca50c	అలసిపోయాము	we got tired
We3a429dec03d	తిన్నాము	we ate
W26230f52aff1	మాతో	mā (our (before a noun — also "my" for close family)) + -tō (with (goes after the noun))
W579b42af352e	చేస్తాడు	chēyi — do, make — also carries any English verb; hand
W0548abdad23f	చూస్తాము	we watch
W5eb5ef5bb56c	చూస్తాడు	chūḍu — see, watch
Wc959d6ab2406	నిద్రపుచ్చుతాము	we put (someone) to sleep
W023bd1f21bfc	వేడినీటి	of hot water
Wba0f9e1204ad	చేశాను	I did, I made
W17dc9900a9b3	పోయాను	I went
W18a419859f5f	అలసిపోయారా	did they get tired?
W10a8a0b8ad36	తింటారు	tinu — eat
W20369dfdd940	తింటారా	do they eat?
Wdfa758f871a7	తినరు	tinu — eat
W5b578ff4efab	వాళ్ళకు	vāḷḷa (their (people)) + -ku (-ku — to, for (dative; goes after the noun))
Wab6e5076b622	చూస్తాడా	does he watch?
W4f25e9e7aa15	పడుకుంటాడు	paḍukō — sleep, lie down
W1aa0bcda2f22	తొమ్మిది	nine
W66c85615925c	పడుకుంటాడా	does he go to bed?
W0f1b10898b44	వేడినీటితో	with hot water
Wbf6c1fadc690	చేసిందా	did she do it?
W1a45c44f290e	చేయలేదు	didn't do
Wd5719e15b1c3	తోముకున్నాడా	did he brush?
W5167b000a5ba	చదువుతుంది	chaduvu — read (also "study")
W097e7820e015	చదువుతుందా	does she read?
Wd201d5e58e32	జేమ్స్	James
Wcd4bd084d1a0	ఆఫీస్	office
W1e23a0fa71c5	బిజీగా	busy
W0bdf7405a1c6	సమావేశాలుంటాయి	there are meetings
W823fbc066791	సమావేశాలంటే	as for the meetings
W56050c83c69c	అవి	they (things / non-human)
W193a0d2f15b8	బోరింగ్గా	boringly, as boring
W306ac79f1a00	ఉంటాయి	they are, they stay
W44224a67a39a	కొంతమంది	some (people)
W68c45e376119	తో	with (goes after the noun)
Wc42d48737c04	మరి	and then, moreover
Wd1b7e55f9e90	అంత	that much
W8d4941ddff85	మంచిగా	manchi (good, fine (goes straight before a noun: manchi pani)) + -gā (-gā — turns a noun into a description)
W64a6bb2b879e	ఉండరు	uṇḍu — be, stay, live, exist (the to-be verb)
W182f5989992f	సేపు	a stretch of time
W00cd2e031ff5	లంచ్	lunch (loanword)
W0062c5bd2c65	బ్రేక్స్	breaks
W317141ef07fa	తీసుకుంటాడు	tīsukō — take
W55e302a3b4b7	వెళ్లొచ్చు	may go, can go
W2c9b5fc302b6	గంటలు	hours, o'clock (takes -ki for "at")
W1204e5204eb1	ఎప్పుడు	when
W28620a622aa7	అవుతుందా	does it become? / is it time?
W8e29e21df7fc	అని	quotative particle — closes quoted or named material (RRR ani sinimā, "a movie called RRR")
Wf8ec7931de62	ఎదురుచూస్తూ	waiting for, looking forward to
W06d4ffb042de	సమావేశాలున్నాయి	there are meetings
W666551c24fdb	నాతో	nā (my (before a noun)) + -tō (with (goes after the noun))
W618d9eb032f9	బ్రేకులు	breaks
W9b9240dedfbb	తీసుకుంటాను	I will take (future)
Wba743105f80f	చేస్తాడా	does he do it?
W6777293c98c1	ఉంటాడా	is he (habitually)?
Wca9878a6ed6e	సమావేశాలుంటాయా	are there meetings?
W295de9fc406c	సమావేశాలు	meetings
W4528a655c978	ఉంటాయని	that they are
W181929469ac2	అనుకుంటాడు	he thinks
W061e7d242878	అనుకుంటాడా	does he think?
W8668eb07c60e	కస్టమర్లందరూ	all the customers
W2c487878fc39	కొద్ది	a little, few
W4e69c1a2ba73	తీసుకుంటాడా	does he take?
W585da234372a	కొద్దిసేపు	for a short while
Wd75c5a022de9	తీసుకోడు	tīsukō — take
W7da630aeb7fb	వెళ్లొచ్చా	may (he) go?
Wfe814c92fefc	లీసా	Lisa
W1548911c5410	బూట్లు	shoes
W334685eaaa8e	కొనాలి	must buy, wants to buy
W16f569d28e1f	అనుకుంటోంది	she is thinking, she wants
W8482c1b64ca1	షూ	shoe
W2e1727369260	దుకాణానికి	to the shop
W8c5a0ee4d7dc	వెళ్ళింది	went
W89ed2b049f4d	అక్కడ	there (far — cf. ikkaḍa)
W2cb72ba27d43	ఎన్నో	so many
W9495393bdab7	షూలు	ṣū (shoe) + -lu (-lu — the general plural suffix)
W31901dfdd9f0	ఉన్నాయి	are (they/things are)
W75d64198aa46	జత	pair
W9524b5ce275a	నీలం	blue
W729ee143b198	రంగు	colour; color
W4e28f5347cee	షూలను	ṣū (shoe) + -la (-la — the plural -lu in its oblique form, used before anothe) + -nu (won't / don't (negative future))
Wf3a9010fbc46	వేసుకుంది	she put on, she tried on
W80edacf78ffd	టైట్	tight
W51717b974297	గా	-gā — turns a noun into a description
W9e03eea17a5e	నలుపు	black
W64f82a50eb7e	ఆ	that / those (before a noun — ā pustakaṁ "that book"; standalone "that" is adi)
W1da3f8665cde	సౌకర్యంగా	comfortably, comfortable
Wd63e425ffe34	షూల	ṣū (shoe) + -la (-la — the plural -lu in its oblique form, used before anothe)
W0746cc87a576	ఎంత	how much (uncountable)
Wfdc1ca9c7bfb	అడిగింది	she asked
W8cc7b07d87e4	వందల	vanda (hundred) + -la (-la — the plural -lu in its oblique form, used before anothe)
W6bd35cc5931f	యాభై	fifty
W747a509d112a	డాలర్లు	ḍālar (dollar) + -lu (-lu — the general plural suffix)
Wcb181b90fe99	బాధగా	bādha (sadness / sorrow) + -gā (-gā — turns a noun into a description)
Wf1b7e0d96ada	కిందకు	kinda (under, below) + -ku (-ku — to, for (dative; goes after the noun))
W04b698142a98	పెట్టి	having put down
W739098d679c6	వెళ్ళిపోయింది	she went away, she left
W8d4be4975ee2	వెళ్ళాను	I went (past)
Wac5c32e66e86	వేసుకున్నాను	I put on, I tried on
Wa2af3903749a	అడిగాను	I asked
Wa77af0c6fe4b	వెళ్లిపోయాను	I went away, I left
Wd3254db99688	అనుకుంటోందా	is she thinking of …?
W14c9683fa581	ఉన్నాయా	are there?
W3f7cc1310a13	వేసుకుని	having put on
W7246a01d7841	జతల	jata (pair) + -la (-la — the plural -lu in its oblique form, used before anothe)
Wc1bf07f968b4	మొదట	first, at first
Wda404a833427	ఎరుపు	red
W0dbc43f45937	వేసుకోలేదు	she did not put on
Wdaf035171beb	లేవు	uṇḍu — be, stay, live, exist (the to-be verb)
W9eb4b02e1b67	ఖరీదైనవా	are they expensive?
W5952f6f8b816	ఖరీదైనవి	expensive ones
W69f787ae5148	వాటి	their (objects / non-human)
W2ccf2ef92526	దుకాణం	shop (Urdu)
W2bf88999a86e	కొన్నదా	did she buy?
W8a9346b995fc	కొనలేదు	she did not buy
