guid	te	sense_no	gloss	pos	explain	context_guid	status
W808d8266612a	ఇష్టపడుతారు	1	they like	verb	habitual/future, 3pl of ఇష్టపడు	Mcdabfe3c889f	draft
W028d7b0dd1ab	ఇష్టమా	1	is it liked? / do (you) like?	noun + question	ఇష్టం 'liking, fondness' with the yes/no question marker -ఆ. Adding this single vowel to the end of a statement turns it into a question, with no change in word order.	M0716d6b78157	draft
W6777293c98c1	ఉంటాడా	1	is he (habitually)?	verb + question	ఉంటాడు 'he is' plus the question marker. The final -ఆ is Telugu's yes/no question marker: attach it to the end of a statement and the word order does not change at all.	M7b3af6a49af0	draft
W4528a655c978	ఉంటాయని	1	that they are	"ఉంటాయి + -అని ""that"", reporting a thought"		M3dd487b29236	draft
W306ac79f1a00	ఉంటాయి	1	they are, they stay	verb	habitual/future, 3pl of ఉండు	M4c23f3a7efc3	draft
W18e282764ee3	ఉంటారా	1	are they (habitually)?	verb + question	ఉంటారు 'they are' plus the question marker. The final -ఆ is Telugu's yes/no question marker: attach it to the end of a statement and the word order does not change at all.	M6b17c310bdff	draft
Wde2037608a48	ఉంటుందా	1	is there? / does it stay?	verb	3sg + the -ā question ending	Mc050b3c7bc11	draft
W5adb5c590dc7	ఉంటూ	1	staying, while being	progressive participle of ఉండు		Md45a97459e69	draft
W3765258ae6a5	ఉండాలనుకుంటున్నాడా	1	does he want to stay?	verb + question	The whole 'wants to' chain — ఉండాలి 'must stay' + అని + అనుకుంటున్నాడు 'he is thinking' — with the question marker on the end. Only the last element takes it, however long the chain.	Mda60d45bba13	draft
W958e0cff425c	ఉండాలనుకోవడం	1	wanting to stay	verbal noun	The same 'wants to' chain turned into a noun with -డం, so it can be negated as a whole: ఉండాలనుకోవడం లేదు, 'there is no wanting to stay'.	Mc451ce690e3e	draft
Wf82b639bd850	ఉండి	1	having stayed / being	verb form	The conjunctive participle of ఉండు 'to be, to stay'. Telugu chains actions with this form instead of repeating a finite verb: ఇంట్లోనే ఉండి ... చేయాలని is 'staying at home and ...'. Only the last verb in such a chain carries person and tense.	Md45a97459e69	draft
W7147a9bac32c	ఉండే	1	who are (habitually)	verb (relative participle)	The habitual relative participle of ఉండు. Where ఉన్న describes a state now, ఉండే describes what is generally or characteristically the case: స్నేహంగా ఉండే వాళ్ళు, 'people who are friendly'.	M423b6d65259a	draft
W3a64bd760544	ఉందా	1	is there? / does (he) have?	verb + question	ఉంది '(it) is, there is' with the yes/no marker -ఆ. Telugu has no verb 'to have': possession is expressed as existence, so డస్టిన్‌కు ... ఉందా is literally 'to Dustin, does there exist ...?'	Mafcb398ca6a3	draft
W8bb8e1813fc1	ఉత్సాహంగా	1	excited, enthusiastically	adverb	ఉత్సాహం 'enthusiasm, excitement' with the adverbial -గా, pairing with ఉండటం to describe a state: ఉత్సాహంగా ఉన్నాడు 'he is excited'.	Mf084dcfb8769	draft
W4c2a40859a1f	ఉన్న	1	who is / that are	verb (relative participle)	The relative participle of ఉండు 'to be'. Telugu has no relative pronouns; instead the verb takes this form and sits directly before the noun it modifies: ఆకలితో ఉన్న కస్టమర్లు, 'customers who are hungry'.	M0fbf39d9b85f	draft
W14ab01d1d3ed	ఉన్నాడా	1	is he?	verb + question	ఉన్నాడు 'he is' plus the question marker. ఉన్నాడు describes a state right now, where ఉంటాడు describes what is generally so.	M593a2efb7f86	draft
W14c9683fa581	ఉన్నాయా	1	are there?	verb	3pl + the -ā question ending	Me0dfe90a2214	draft
W4d509109b075	ఎక్కడి	1	of where, which place	interrogative, oblique		M571f3bd4aec8	draft
W1b90731bae13	ఎక్కడికైనా	1	anywhere, somewhere or other	adverb	ఎక్కడికి + ఐనా	Mf67855827c10	draft
Wf8ec7931de62	ఎదురుచూస్తూ	1	waiting for, looking forward to	progressive participle of ఎదురుచూడు		M085190c727ce	draft
W2cb72ba27d43	ఎన్నో	1	so many	determiner		Mc17383fe0c2c	draft
W1a227616ceb1	ఏడున్నర	1	half past seven	number	"ఏడు ""seven"" + అన్నర ""and a half"""	M627972907910	draft
Wb6efaf8ebfd0	ఏడున్నరకు	1	at seven-thirty	time expression + case	ఏడు 'seven' plus అన్నర 'and a half', with the dative -కు for clock time. Telugu builds half-hours with this -అన్నర rather than a separate word for 'thirty'.	M627972907910	draft
We932d263cd9d	ఏమీకి	1	to Amy	proper noun + case	The name ఏమీ with the dative -కి. -కి rather than -కు because the name ends in a front vowel — the two are the same ending, chosen by the preceding sound.	M539a50ee5949	draft
W85762ef3ac41	ఒకరికొకరు	1	each other	pronoun	Literally 'one to one' — ఒకరు 'one person' in the dative, then ఒకరు again. Telugu builds the reciprocal by repeating the word rather than with a separate pronoun like English 'each other'.	M8e2da61aa171	draft
W507b955eda56	కంప్యూటర్‌లో	1	on the computer	noun + case	కంప్యూటర్ with the locative -లో. Telugu uses 'in' where English says 'on' for this.	Ma43404cd274b	draft
Wf06ffd3e44e9	కథను	1	the story (as object)	noun	కథ 'story' with the accusative ending -ను, which marks it as the thing being acted on. Telugu adds -ను/-ని to definite or animate objects; an indefinite object often takes no ending at all. Dictionary form: కథ.	Me35d761ad098	draft
W87a0c2de24e3	కనిపిస్తుందా	1	is (it) seen? / does (she) see?	verb + question	కనిపిస్తుంది 'it appears, is visible' plus the question marker. Telugu often frames seeing this way — the thing seen is the subject and the seer takes the dative.	M97a5dafb9b60	draft
Wfcff32def61a	కప్పు	1	cup	noun	A borrowing from English 'cup', long naturalised.	M8103f5ea619c	draft
We1bdbe3a26bc	కరెన్	1	Karen	name		M9368104310c4	draft
W5fa1ed11edbd	కరేన్	1	Karen	name		M07ea382e5598	draft
W5c9c0c0d76e1	కలవగలడు	1	he can meet	verb (abilitative)	కలువు 'to meet' with -గల-, which marks ability, plus the third-person masculine ending. This -గల- is Telugu's 'can': it slots between the stem and the person ending, so కలవగలను is 'I can meet'.	M423b6d65259a	draft
W6f63f4b3799d	కలవగలను	1	I can meet	verb (abilitative)	కలువు with the ability marker -గల- and the first-person ending -ను.	Mee411d64c4b4	draft
W13250ab92d66	కలుస్తూ	1	meeting, while meeting	progressive participle of కలువు		M423b6d65259a	draft
W1aff8c59023c	కష్టపడి	1	having worked hard	verbal participle of కష్టపడు		M3bd5efcd318b	draft
W143fa091efc4	కస్టమర్ల	1	of the customers	noun (oblique plural)	కస్టమర్ with the oblique plural -ల, the form used before another ending or postposition — here before కోసం 'for'.	M0fbf39d9b85f	draft
W8668eb07c60e	కస్టమర్లందరూ	1	all the customers	"కస్టమర్లు + అందరూ ""all"""		M48331453b7ae	draft
Wf71e2fa0c9f4	కస్టమర్లతో	1	with the customers	noun + case	కస్టమర్ plus the plural -ల plus -తో 'with'. Telugu stacks these in a fixed order: stem, number, then case.	M61d853bc7ae6	draft
Wdd06537e0681	కస్టమర్లు	1	customers	noun (plural)	కస్టమర్ 'customer' with the plural ending -లు. The borrowed singular takes native Telugu plural and case endings exactly as a Telugu noun would.	M08a42eca7f0d	draft
W5c21c5bd4da9	కాదా	1	is it not?	the negative copula కాదు + the -ā question ending		M24793f8237ff	draft
W4a30ae01ec58	కారులో	1	in the car / by car	noun + case	కారు 'car' with the locative -లో. Telugu uses this for the means of travel where English says 'by car'.	Mf59192fd5d1f	draft
We7c1f37a6cf7	కారెన్	1	Karen (name)	proper noun	The English name Karen in Telugu script, inflecting like any noun: కారెన్‌కు 'to Karen'.	Me3678dd86cc1	draft
W8fe494a77fec	కారెన్‌కు	1	to Karen / for Karen	proper noun + case	కారెన్ plus the dative ending -కు. Telugu uses the dative far more widely than English 'to' — it also marks the experiencer of a feeling, so కారెన్‌కు విసుగ్గా ఉంటుంది is literally 'to Karen it is boring', i.e. Karen is bored.	M9368104310c4	draft
W6301767746d0	కావాలనుకుంటోందా	1	does she want …?	verb	present continuous + the -ā question ending	M29ceae1528af	draft
W08c5d42bc429	కావాలనుకుంటోంది	1	she wants	verb	present continuous, 3sg fem — కావాలి + అనుకో	Mcc6aaae188a9	draft
W7570545864c9	కావాలా	1	is (it) wanted?	verb + question	కావాలి 'is wanted, is needed' plus the question marker. What is wanted is the grammatical subject and the wanter takes the dative, so కారెన్‌కు ... కావాలా is 'to Karen, is ... wanted?'	M29ceae1528af	draft
Waa3ab9c1483c	కాసేపటికి	1	after a little while	adverb	కాసేపు + the dative -కి	Mf8b1392efe4d	draft
W6a6f3772f1c6	కూడుకున్నదా	1	does it involve …?	verb + the -ā question ending		M6efd4f432e33	draft
Wa280bb879cc3	కూడుకున్నది	1	one that involves	verb	"""ఖర్చుతో కూడుకున్నది"" = involves expense"	M7a1fd0c7247a	draft
W9ede62fb6911	కూతురంటే	1	as for the daughter	noun	కూతురు + అంటే, the subject of a liking	Mce4b56c68cc6	draft
W99b3ef0e4169	కూతురికి	1	to the daughter	noun	కూతురు + the dative -కి	M77383f958096	draft
W265d9f30a53d	కూతురుకు	1	to the daughter	noun + case	కూతురు 'daughter' with the dative -కు, here in the possession pattern: కూతురుకు ... ఉన్నారు, 'the daughter has ...'.	M80f643e0f3e3	draft
Wae9bacc2c376	కొంటాను	1	I buy	verb	కొను 'to buy' with the first-person ending -తాను.	Mc44ea721d1e0	draft
W95e0c882f201	కొంటుందా	1	does she buy?	verb + question	కొంటుంది 'she buys' plus the question marker.	Mac12e1ef7451	draft
W7f334302fd32	కొంటుంది	1	she buys	verb	కొను 'to buy' with -తుంది, the third-person ending for a feminine or neuter subject in the habitual/future. The masculine counterpart would be కొంటాడు.	Me3678dd86cc1	draft
Wff9fab5b2463	కొంత	1	some, a certain amount	adjective	Used before a noun for an unspecified quantity. The related కొంతమంది means 'some people'.	M320089b3af04	draft
Wc21b899c7de0	కొడుతోందా	1	is it striking?	verb	present continuous + the -ā question ending	M0f8f2db95b4c	draft
W0f6f26765b37	కొడుతోంది	1	it is striking	verb	"present continuous; with బోర్ = ""is bored"""	M9368104310c4	draft
W2c487878fc39	కొద్ది	1	a little, few	adjective		M69cc47ab15ba	draft
W585da234372a	కొద్దిసేపు	1	for a short while	adverb	"కొద్ది ""little"" + సేపు ""time"""	M1886460a1de1	draft
W8a9346b995fc	కొనలేదు	1	she did not buy	verb	negative past of కొను	M8924d40fd969	draft
W334685eaaa8e	కొనాలి	1	must buy, wants to buy	verb	obligative of కొను	Mfcbd2d509080	draft
W2c2a2c60d4ec	కొనుక్కుందా	1	did she buy?	verb	past, 3sg fem + the -ā question ending	Mac12e1ef7451	draft
Wcdeeae813af4	కొనుక్కుంది	1	she bought (for herself)	verb	past, 3sg fem of కొనుక్కో	M22b50a16e585	draft
Wba9619e7d9f7	కొనుక్కుని	1	having bought (for oneself)	verbal participle of కొనుక్కో		Md48077c0312d	draft
W2bf88999a86e	కొన్నదా	1	did she buy?	verb	past, 3sg fem + the -ā question ending	Ma9a6422738b9	draft
W016932eadab0	కొన్నాను	1	I bought	verb	past, 1sg of కొను	Mc44ea721d1e0	draft
W0f8b824e6a66	క్లేర్	1	Clare (name)	proper noun	The English name Clare in Telugu script. Like other borrowed names it takes ordinary case endings — క్లేర్‌కు 'to Clare'.	M1d52df997c3c	draft
W87abed4d078d	క్లేర్‌కు	1	to Clare / for Clare	proper noun + case	క్లేర్ with the dative -కు, for the recipient or the experiencer of a state.	M59c4ef223e95	draft
W95f6e1203567	ఖరీదు	1	price; expensive	noun	Names the cost of something, and by extension is used predicatively for 'expensive': చాలా ఖరీదు, 'costs a lot'.	M8fa446324119	draft
W7fd5ea05246a	ఖరీదైనది	1	is expensive / an expensive one	adjective (nominalised)	ఖరీదు 'price, cost' plus -ఐన, which makes an adjective, plus -ది, which turns that adjective back into a standalone noun-like predicate. Telugu often ends an equational sentence with this -ది where English would just use 'is'.	M7a1fd0c7247a	draft
W9eb4b02e1b67	ఖరీదైనవా	1	are they expensive?	adjective + the -ā question ending		M91a90dcb3fe8	draft
W5952f6f8b816	ఖరీదైనవి	1	expensive ones	adjective	"ఖరీదు ""price"" + -ఐన"	M24c17cc19219	draft
W74cc81bfd399	గంటలకు	1	at ... o'clock	noun + case	గంట 'hour' with the plural -ల and the dative -కు. Telugu tells clock time with the dative: ఆరు గంటలకు is 'at six o'clock'. The dative here marks a point in time rather than a recipient.	Mbbdd5bcb2e81	draft
Wd25d7a3051db	గణితం	1	mathematics	noun	The native Telugu word for mathematics. Everyday school speech often uses the borrowed మ్యాథ్స్ instead; both are current.	M539a50ee5949	draft
W5f13c30646da	చదవడం	1	reading (the act of)	verbal noun	చదువు 'to read' with -డం, which makes a verbal noun. Like ఆడటం 'playing', it can head a phrase and take case endings — చదవడం ఇష్టం, 'likes reading'.	M59c4ef223e95	draft
W898c3f8198cc	చదువుకుంటూ	1	studying (for oneself)	progressive participle of చదువుకో		Md45a97459e69	draft
W776ef0c868a2	చదువుకుని	1	having studied	verb form	చదువు 'to read, to study' with the reflexive -కొని and the conjunctive ending — 'having studied (for oneself)'. The conjunctive participle chains actions; only the final verb in the chain carries tense and person.	Md45a97459e69	draft
W5748accef602	చదువుకోవాలని	1	that (one) should study	verb form	చదువుకొను 'to study (for oneself)' in its obligative form with the quotative అని, giving the content of the decision.	M0908d6845eea	draft
Wf9ef943536b0	చదువుతాము	1	we study	verb	చదువు 'to study' with -తాము, first person plural.	M600055516098	draft
W097e7820e015	చదువుతుందా	1	does she read?	verb	habitual/future, 3sg fem + the -ā question ending	M983cd8956932	draft
Wae9b96b4c849	చదువుతూ	1	studying, while studying	progressive participle of చదువు		M3bd5efcd318b	draft
Wc0135b1bf0cf	చూడటం	1	watching (the act of)	verbal noun	చూడు 'to see, watch' with the verbal-noun -టం, the same ending as ఆడటం 'playing'.	M0e79c6bafa76	draft
Wc740924efb03	చూడడం	1	watching, seeing	verbal noun of చూడు		M0e79c6bafa76	draft
W09eaf39d1e19	చూశాడు	1	he watched	verb	past, 3sg masc of చూడు	Mb5ad4d444fc9	draft
W6c868e4a278b	చూశాను	1	I saw	verb	past, 1sg of చూడు	M63c45edd2d86	draft
W18b0271afe51	చూశారు	1	they watched	verb	past, 3pl of చూడు	M322c8beeeed2	draft
Wadcad479dcaf	చూసిందా	1	did she see?	verb	past, 3sg fem + the -ā question ending	M97a5dafb9b60	draft
Wab6e5076b622	చూస్తాడా	1	does he watch?	verb	habitual/future, 3sg masc + the -ā question ending	M4c8e76bc58df	draft
W0548abdad23f	చూస్తాము	1	we watch	verb	habitual/future, 1pl of చూడు	Md82c09f5f626	draft
W7ee513466115	చెప్పబడింది	1	it was told	verb	passive past, from చెప్పు	Me35d761ad098	draft
Wb518e860ce6f	చేత	1	by (the one made to act)	postposition	marks who is made to do something	Med5880a7ae78	draft
W72834506e724	చేయడం	1	doing, making	verbal noun of చేయు		M8db5cc76b64f	draft
Wa09d4e67cd43	చేయనవసరం	1	need to do	verb + noun	చేయ-, the bare stem of చేయు, with అవసరం 'necessity'. It usually appears negated — చేయనవసరం లేదు, 'there is no need to do', i.e. doesn't have to.	Mbbbb7d4eb1d8	draft
W27f7eb9c8a8d	చేయాలని	1	intending to do / that (one) should do	verb form	చేయాలి 'must do' with the quotative అని. This pairing introduces an intention or a purpose, and is what the preceding clause is 'about' when it ends in నిర్ణయించుకుంటాడు 'decides'.	Md45a97459e69	draft
Wc09f97aabb8d	చేయిస్తుందా	1	does she make (someone) do?	verb + question	చేయిస్తుంది, the causative, plus the question marker.	Mec1c434fed32	draft
W9a08bbf6b6c6	చేయిస్తుంది	1	she makes (someone) do	verb (causative)	చేయు 'to do' in its causative form: -ఇంచు/-ఇస్తు inserts a second participant who causes the action. The person made to act takes -తో: జాన్‌తో హోంవర్క్ చేయిస్తుంది, 'she makes Jon do the homework'. This causative is fully productive across Telugu verbs.	Med5880a7ae78	draft
Wf862a0dc7475	చేయిస్తూ	1	making (someone) do	causative progressive participle of చేయు		Med5880a7ae78	draft
Wba0f9e1204ad	చేశాను	1	I did, I made	verb	past, 1sg of చేయు	M4be33bb4a292	draft
W74b43afbf3ad	చేసి	1	having made, having done	verbal participle of చేయు		M8103f5ea619c	draft
Wbf6c1fadc690	చేసిందా	1	did she do it?	verb	past, 3sg fem + the -ā question ending	M2e47f1aaa952	draft
W12358fbae973	చేసుకుంటాము	1	we do (for ourselves)	verb (reflexive)	The first-person plural of చేసుకుంటారు.	Me8120b031b8e	draft
W70256ce11e7a	చేసుకుంటారు	1	they do (for themselves)	verb (reflexive)	చేయు with the reflexive -కొను and the third-person plural ending. The reflexive is what makes ఒకరికొకరు సహాయం చేసుకుంటారు mean they help *each other* rather than someone else.	M8e2da61aa171	draft
W4ce0e6f82870	చేసుకుని	1	having made (for oneself)	verb form	చేయు 'to do, make' with the reflexive -కొను and the conjunctive ending. The reflexive marks the action as done for one's own benefit, which is why it fits 'makes his breakfast' better than plain చేసి would.	M8103f5ea619c	draft
Wba743105f80f	చేస్తాడా	1	does he do it?	verb	habitual/future, 3sg masc + the -ā question ending	Mab1851287176	draft
W146d8dcbef8e	చేస్తుందా	1	does she do?	verb + question	చేస్తుంది 'she does' plus the question marker. The final -ఆ is Telugu's yes/no question marker: attach it to the end of a statement and the word order does not change at all.	M25bb1a29b316	draft
W3b2886cfc6d9	చౌకైనదా	1	is it cheap?	adjective + question	చౌకైనది 'is a cheap one' plus the question marker.	M6efd4f432e33	draft
W81117507e5c5	చౌకైనది	1	is cheap / a cheap one	adjective (nominalised)	చౌక 'cheap' with -ఐన making an adjective and -ది making it a standalone predicate — the same construction as ఖరీదైనది, its opposite.	M6c6fae2e0c55	draft
W8164eb7027c3	జాన్	1	Jon (name)	proper noun	The English name Jon in Telugu script, inflecting like any noun: జాన్‌కు 'to Jon'.	M902a6de03153	draft
W640e1741f6d1	జాన్‌కు	1	to Jon / for Jon	proper noun + case	జాన్ with the dative -కు. Used for the recipient, and for the one experiencing a state: జాన్‌కు హోంవర్క్ ఉంది, 'Jon has homework', literally 'to Jon there is homework'.	Md585b0658727	draft
Wddfb6d3741b1	జాన్‌తో	1	with Jon	proper noun + case	జాన్ with -తో 'with'. In a causative sentence this same -తో marks the person who is made to do something, not a companion.	M7573e41adc24	draft
Wf5311522b9f0	జూలీ	1	Julie	name		Mb2d2d6db1cbc	draft
W593afc65da53	జూలీనా	1	is (it) Julie?	proper noun + question	The name జూలీ plus the question marker, with -న- inserted between the two vowels so they do not collide — a regular Telugu adjustment.	Mb2d2d6db1cbc	draft
W643ab6117c29	జేన్	1	Jane	name		Ma1109e049555	draft
Wd201d5e58e32	జేమ్స్	1	James	name		M1d59e95edc36	draft
W6cbc0e741c8a	జోన్	1	Jon	name		M902a6de03153	draft
W8005087ffa34	టికెట్లు	1	tickets	noun (plural)	The borrowed టికెట్ with the native plural -లు.	M8fa446324119	draft
W0dcaa9db4bd2	టీచర్లకు	1	to the teachers	noun + case	టీచర్ 'teacher' with the plural -ల and the dative -కు. Used in the experiencer pattern: టీచర్లకు ... ఇష్టం, 'the teachers like ...'.	Mce4b56c68cc6	draft
W784d579fcd44	టీవి	1	TV	noun (English loanword)		M322c8beeeed2	draft
W80edacf78ffd	టైట్	1	tight	adjective (English loanword)		M1703a55a9aba	draft
W57a57adcf03d	డస్టిన్	1	Dustin (name)	proper noun	The English name Dustin in Telugu script, inflecting normally: డస్టిన్‌కు 'to Dustin'.	Maa888281458f	draft
W08c8fc8a32d9	డస్టిన్‌కు	1	to Dustin / for Dustin	proper noun + case	డస్టిన్ with the dative -కు, used both for 'to Dustin' and for Dustin as the one experiencing something — డస్టిన్‌కు ఫ్రెంచ్ రాదు, 'French doesn't come to Dustin', i.e. he doesn't speak French.	M3a4fc6ec99e8	draft
Wc0da00a6cf79	తాగుతాడా	1	does he drink?	verb + question	తాగుతాడు 'he drinks' plus the question marker. The final -ఆ is Telugu's yes/no question marker: attach it to the end of a statement and the word order does not change at all.	Mbd3ee2218620	draft
W20369dfdd940	తింటారా	1	do they eat?	verb	habitual/future, 3pl + the -ā question ending	Mf302363e0fb0	draft
We3a429dec03d	తిన్నాము	1	we ate	verb	past, 1pl of తిను	Mb408011fb1d7	draft
W4e69c1a2ba73	తీసుకుంటాడా	1	does he take?	verb	habitual/future, 3sg masc + the -ā question ending	M69cc47ab15ba	draft
W73acad3a3d0a	తెలియడం	1	knowing	verbal noun of తెలియు		Mc95bb54fa503	draft
W33c019b799ef	తెలియదు	1	(he) doesn't know	verb (negative)	తెలియు 'to be known' with the negative -దు. Knowledge is expressed impersonally: the thing known is the subject and the knower takes the dative, so అతనికి తెలియదు is 'to him it is not known'.	M571f3bd4aec8	draft
Wd5719e15b1c3	తోముకున్నాడా	1	did he brush?	verb	past, 3sg masc + the -ā question ending	Mdebd3f9ab6d0	draft
W3024ca222f72	తోముకున్నాడు	1	he brushed (his own)	verb	past, 3sg masc of తోముకో	Mcc7a7827960a	draft
W2e1727369260	దుకాణానికి	1	to the shop	noun	దుకాణం + the dative -కి	M5b7c78898e4d	draft
Wa46ab8a5195b	దుకాణాన్ని	1	the shop (as object)	noun	దుకాణం in the accusative	M07ea382e5598	draft
W55e4fd8ef5e2	దేశాల	1	of countries	noun (oblique plural)	దేశం 'country' with the plural -ల in its oblique form — the shape a plural takes before another ending or postposition. Here it precedes నుంచి 'from': చాలా దేశాల నుంచి, 'from many countries'. Note the plural is -ల, not the -లు that ends a standalone plural.	M08a42eca7f0d	draft
We6e4dfdc5a6f	దొరికిందా	1	did (he) get it?	verb	past + the -ā question ending	Mafcb398ca6a3	draft
W505c02906d35	నడుచుకుంటూ	1	walking along	verb form	నడుచు 'to walk' with the reflexive -కొను and the durative -తూ, describing an action ongoing while something else happens. -తూ is Telugu's 'while X-ing'.	M07ea382e5598	draft
W666551c24fdb	నాతో	1	with me	pronoun + case	నేను 'I' takes the oblique నా before -తో 'with'.	Mf0fccec5ba3c	draft
W7653c2efe407	నిద్రపుచ్చారు	1	they put (someone) to sleep	verb	past, 3pl, causative of నిద్రపో	M59f071e47bc9	draft
Wc959d6ab2406	నిద్రపుచ్చుతాము	1	we put (someone) to sleep	verb	habitual/future, 1pl, causative	Mb7dcfcea4ff0	draft
Wa7f3baf21efa	నిద్రపోయాడు	1	he fell asleep	verb	past, 3sg masc of నిద్రపో	Mf8b1392efe4d	draft
Wcb0fa2dd414e	నిర్ణయించుకుంటాడా	1	does he decide?	verb + question	నిర్ణయించుకుంటాడు 'he decides' plus the question marker.	M0908d6845eea	draft
W8d5c2c5f6e53	నిర్ణయించుకుంటాడు	1	he decides	verb (reflexive)	నిర్ణయించు 'to decide' with the reflexive -కొను, marking that the decision is for and about himself. Telugu uses this reflexive far more than English does.	Md45a97459e69	draft
W2451aec024a2	నిర్ణయించుకుంటాను	1	I decide	verb (reflexive)	నిర్ణయించుకొను 'to decide (for oneself)' with the first-person ending.	M2a1ea9d37bca	draft
W08626e1c0ed0	నిర్ణయించుకున్నాడా	1	did he decide?	verb	past, 3sg masc + the -ā question ending	M0908d6845eea	draft
W87b0034dbf37	నిర్ణయించుకున్నాడు	1	he decided	verb	past, 3sg masc of నిర్ణయించుకో	Md45a97459e69	draft
Wa1d20608c654	నిర్ణయించుకున్నాను	1	I decided	verb	past, 1sg of నిర్ణయించుకో	M2a1ea9d37bca	draft
Wbc6e8d996f5e	నీళ్లంటే	1	as for water	noun + topic marker	నీళ్లు 'water' (grammatically plural in Telugu) plus అంటే, literally 'if (one) says'. It marks the topic of a feeling: నీళ్లంటే భయం is 'as for water, (there is) fear' — the standard way to say someone is afraid of something.	M713259958e19	draft
