English,Romanized,TeluguScript,Audio,Example,Tags,ID,Source,Section,Category,Tier,Flag,AlsoSeenIn
yes,avunu,అవును,,avunandi.,src::lesson-03 cat::response tier::core,W0067,Lesson 3 · Greetings & courtesy,"Yes, no, okay",response,core,,
okay,sarē,సరే,,sarē aṇḍi.,src::lesson-03 cat::response tier::core,W0068,Lesson 3 · Greetings & courtesy,"Yes, no, okay",response,core,,
no — it doesn't exist / isn't there / I don't have it,lēdu,లేదు,,lēdandi.,src::lesson-03 cat::negation tier::core,W0069,Lesson 3 · Greetings & courtesy,"Yes, no, okay",negation,core,,
no — I don't want it (declining),vaddu,వద్దు,,"vaddandi, thanks aṇḍi.",src::lesson-03 cat::negation tier::core,W0070,Lesson 3 · Greetings & courtesy,"Yes, no, okay",negation,core,,
no — it is not (negating a statement),kādu,కాదు,,idi kāru kādu.,src::lesson-03 cat::negation tier::core,W0071,Lesson 3 · Greetings & courtesy,"Yes, no, okay",negation,core,,
"sorry (lit. ""forgive me"")",kṣaminchandi,క్షమించండి,,kṣaminchandi.,src::lesson-03 cat::formula tier::core,W0072,Lesson 3 · Greetings & courtesy,Courtesy,formula,core,,
It's okay / no problem / never mind,parvālēdu,పర్వాలేదు,,parvālēdu aṇḍi.,src::lesson-03 cat::formula tier::core,W0073,Lesson 3 · Greetings & courtesy,Courtesy,formula,core,,scenario-how-was-your-day
please (rare — politeness usually goes in the suffix),dayacēsi,దయచేసి,,"raṇḍi (not ""dayacēsi raṇḍi"")",src::lesson-03 cat::formula tier::core,W0074,Lesson 3 · Greetings & courtesy,Courtesy,formula,core,,
well done / congratulations,śabhāṣ,శభాష్,,śabhāṣ!,src::lesson-03 cat::formula tier::core,W0075,Lesson 3 · Greetings & courtesy,Courtesy,formula,core,,
"good — nice, noble, morally good",manchidi,మంచిది,,manchidi.,src::lesson-03 cat::adjective tier::core,W0076,Lesson 3 · Greetings & courtesy,"Good, and asking how someone is",adjective,core,,
"good — fine, going well (food, trips, states)",bāgundi,బాగుంది,,bāgundi aṇḍi.,src::lesson-03 cat::adjective tier::core,W0077,Lesson 3 · Greetings & courtesy,"Good, and asking how someone is",adjective,core,,scenario-how-was-your-day
"how are you? (lit. ""are you fine?"")",bāgunnārā,బాగున్నారా,,mīru bāgunnārā?,src::lesson-03 cat::formula tier::core,W0078,Lesson 3 · Greetings & courtesy,"Good, and asking how someone is",formula,core,,
I am fine,bāgunnānu,బాగున్నాను,,nēnu bāgunnānu.,src::lesson-03 cat::formula tier::core,W0079,Lesson 3 · Greetings & courtesy,"Good, and asking how someone is",formula,core,,scenario-how-was-your-day
let's go,pada,పద,,padaṇḍi.,src::lesson-03 cat::verb tier::core,W0080,Lesson 3 · Greetings & courtesy,Getting things done,verb,core,,
how much,enta,ఎంత,,idi enta?,src::lesson-03 cat::question-word tier::core,W0081,Lesson 3 · Greetings & courtesy,Getting things done,question-word,core,,
here you go (handing something over),idigō,ఇదిగో,,idigōṇḍi.,src::lesson-03 cat::formula tier::core,W0082,Lesson 3 · Greetings & courtesy,Getting things done,formula,core,,
"doesn't come — used for ""I don't know [a language]""",rādu,రాదు,,Telugu rādu.,src::lesson-03 cat::verb-negative tier::core,W0083,Lesson 3 · Greetings & courtesy,Talking about language,verb-negative,core,,
do you know?,telusā,తెలుసా,,English telusā?,src::lesson-03 cat::question tier::core,W0084,Lesson 3 · Greetings & courtesy,Talking about language,question,core,,
elder sister,akka,అక్క,,mā akka vidyārthi.,src::lesson-04 cat::noun-family tier::core,W0085,Lesson 4 · Family,Siblings,noun-family,core,,
younger sister,chelli,చెల్లి,,mā chelli ammāyi.,src::lesson-04 cat::noun-family tier::core,W0086,Lesson 4 · Family,Siblings,noun-family,core,,
elder brother (shortens to anna),annayya,అన్నయ్య,,mā annayya ḍākṭar.,src::lesson-04 cat::noun-family tier::core,W0087,Lesson 4 · Family,Siblings,noun-family,core,,
younger brother,tammuḍu,తమ్ముడు,,mā tammuḍu vidyārthi.,src::lesson-04 cat::noun-family tier::core,W0088,Lesson 4 · Family,Siblings,noun-family,core,,
maternal grandmother (mother's mother),ammamma,అమ్మమ్మ,,mā ammamma gāru.,src::lesson-04 cat::noun-family tier::core,W0089,Lesson 4 · Family,Grandparents & the honorific,noun-family,core,,
paternal grandmother (father's mother),nānamma,నానమ్మ,,mā nānamma gāru.,src::lesson-04 cat::noun-family tier::core,W0090,Lesson 4 · Family,Grandparents & the honorific,noun-family,core,,
grandfather (either side),tāta,తాత,,mā tāta gāru.,src::lesson-04 cat::noun-family tier::core,W0091,Lesson 4 · Family,Grandparents & the honorific,noun-family,core,,
honorific suffix for people (respect),gāru,గారు,,Raj gāru.,src::lesson-04 cat::honorific tier::core,W0092,Lesson 4 · Family,Grandparents & the honorific,honorific,core,,
"big, elder",pedda,పెద్ద,,pedda + amma → peddamma,src::lesson-04 cat::adjective tier::core,W0093,Lesson 4 · Family,Building blocks,adjective,core,,
"small, young",chinna,చిన్న,,chinna + nāna → chinnāna,src::lesson-04 cat::adjective tier::core,W0094,Lesson 4 · Family,Building blocks,adjective,core,,
mother's brother (any age),māmayya,మామయ్య,,mā māmayya enjinīr.,src::lesson-04 cat::noun-family tier::core,W0095,Lesson 4 · Family,Uncles & aunts — maternal side,noun-family,core,,
"mother's ELDER sister (lit. ""elder mother"")",peddamma,పెద్దమ్మ,,mā peddamma gāru.,src::lesson-04 cat::noun-family tier::core,W0096,Lesson 4 · Family,Uncles & aunts — maternal side,noun-family,core,,
mother's YOUNGER sister,pinni,పిన్ని,,mā pinni ṭīcharu.,src::lesson-04 cat::noun-family tier::core,W0097,Lesson 4 · Family,Uncles & aunts — maternal side,noun-family,core,,
father's sister (any age) — also mother-in-law,atta,అత్త,,mā atta gāru.,src::lesson-04 cat::noun-family tier::core,W0098,Lesson 4 · Family,Uncles & aunts — paternal side,noun-family,core,,
"father's ELDER brother (lit. ""elder father"")",peddanāna,పెద్దనాన్న,,mā peddanāna gāru.,src::lesson-04 cat::noun-family tier::core,W0099,Lesson 4 · Family,Uncles & aunts — paternal side,noun-family,core,,
"father's YOUNGER brother (lit. ""younger father"")",chinnāna,చిన్నాన్న,,mā chinnāna vaidyuḍu.,src::lesson-04 cat::noun-family tier::core,W0100,Lesson 4 · Family,Uncles & aunts — paternal side,noun-family,core,,
wife (colloquial — bhārya is the formal word),pellām,పెళ్ళాం,,nā pellām ṭīcharu.,src::lesson-04 cat::noun-family tier::core,W0101,Lesson 4 · Family,Spouse & in-laws,noun-family,core,,
father-in-law (either side),māma gāru,మామ గారు,,mā māma gāru.,src::lesson-04 cat::noun-family tier::core,W0102,Lesson 4 · Family,Spouse & in-laws,noun-family,core,,
children (collective),pillalu,పిల్లలు,,mā pillalu vidyārthulu.,src::lesson-04 cat::noun-family tier::core,W0103,Lesson 4 · Family,Children,noun-family,core,,
daughter,kūturu,కూతురు,,mā kūturu vidyārthi.,src::lesson-04 cat::noun-family tier::core,W0104,Lesson 4 · Family,Children,noun-family,core,,
son,koḍuku,కొడుకు,,mā koḍuku abbāyi.,src::lesson-04 cat::noun-family tier::core,W0105,Lesson 4 · Family,Children,noun-family,core,,
son-in-law,alluḍu,అల్లుడు,,nēnu alluḍini.,src::lesson-04 cat::noun-family tier::core,W0106,Lesson 4 · Family,Children,noun-family,core,,
daughter-in-law,kōḍalu,కోడలు,,mā kōḍalu ḍākṭar.,src::lesson-04 cat::noun-family tier::core,W0107,Lesson 4 · Family,Children,noun-family,core,,
grandchildren (collective),manavalu,మనవలు,,mā manavalu.,src::lesson-04 cat::noun-family tier::core,W0108,Lesson 4 · Family,Grandchildren,noun-family,core,,
grandson (variant: manumaḍu),manavaḍu,మనవడు,,mā manavaḍu vidyārthi.,src::lesson-04 cat::noun-family tier::core,W0109,Lesson 4 · Family,Grandchildren,noun-family,core,,
granddaughter (variant: manumarālu),manavarālu,మనవరాలు,,mā manavarālu ammāyi.,src::lesson-04 cat::noun-family tier::core,W0110,Lesson 4 · Family,Grandchildren,noun-family,core,,
our — INCLUDING the listener,mana,మన,,mana pērlu.,src::lesson-05 cat::possessive tier::core,W0111,Lesson 5 · Possessives,First & second person possessives,possessive,core,,
your (formal / plural — the safe default),mī,మీ,,mī pēru ēmiṭi?,src::lesson-05 cat::possessive tier::core,W0112,Lesson 5 · Possessives,First & second person possessives,possessive,core,,
"your (informal — close friends, younger people)",nī,నీ,,nī pēru ēnti?,src::lesson-05 cat::possessive tier::core,W0113,Lesson 5 · Possessives,First & second person possessives,possessive,core,,
his (neutral — the default form),atani,అతని,,atani pēru Sanjay.,src::lesson-05 cat::possessive tier::core,W0114,Lesson 5 · Possessives,Third person possessives,possessive,core,,
his (informal — intimates only),vāḍi,వాడి,,vāḍi pēru Peter.,src::lesson-05 cat::possessive tier::core,W0115,Lesson 5 · Possessives,Third person possessives,possessive,core,,
her (informal) / its,dāni,దాని,,dāni pēru Gita.,src::lesson-05 cat::possessive tier::core,W0116,Lesson 5 · Possessives,Third person possessives,possessive,core,,
their (people),vāḷḷa,వాళ్ళ,,vāḷḷa pērlu.,src::lesson-05 cat::possessive tier::core,W0117,Lesson 5 · Possessives,Third person possessives,possessive,core,,
their (objects / non-human),vāṭi,వాటి,,vāṭi pērlu.,src::lesson-05 cat::possessive tier::core,W0118,Lesson 5 · Possessives,Third person possessives,possessive,core,,
what (colloquially ēnti),ēmiṭi,ఏమిటి,,mī pēru ēmiṭi?,src::lesson-05 cat::question-word tier::core,W0119,Lesson 5 · Possessives,"Asking, and plural nouns",question-word,core,,
names (plural of pēru),pērlu,పేర్లు,,vāḷḷa pērlu.,src::lesson-05 cat::noun tier::core,W0120,Lesson 5 · Possessives,"Asking, and plural nouns",noun,core,,
zero,sunnā,సున్నా,,sunnā.,src::lesson-06 cat::numeral tier::core,W0121,Lesson 6 · Numbers,Core — 1 to 10 (learn these first),numeral,core,,
"one (standalone — ""oka"" before a noun)",okaṭi,ఒకటి,,okaṭi ivvaṇḍi.,src::lesson-06 cat::numeral tier::core,W0122,Lesson 6 · Numbers,Core — 1 to 10 (learn these first),numeral,core,,
two,reṇḍu,రెండు,,reṇḍu kārlu.,src::lesson-06 cat::numeral tier::core,W0123,Lesson 6 · Numbers,Core — 1 to 10 (learn these first),numeral,core,,song-gira-gira
three,mūḍu,మూడు,,mūḍu pustakālu.,src::lesson-06 cat::numeral tier::core,W0124,Lesson 6 · Numbers,Core — 1 to 10 (learn these first),numeral,core,,
four,nālugu,నాలుగు,,nālugu.,src::lesson-06 cat::numeral tier::core,W0125,Lesson 6 · Numbers,Core — 1 to 10 (learn these first),numeral,core,,
five,aidu,ఐదు,,aidu rūpāyalu.,src::lesson-06 cat::numeral tier::core,W0126,Lesson 6 · Numbers,Core — 1 to 10 (learn these first),numeral,core,,
six,āru,ఆరు,,āru.,src::lesson-06 cat::numeral tier::core,W0127,Lesson 6 · Numbers,Core — 1 to 10 (learn these first),numeral,core,,
seven,ēḍu,ఏడు,,ēḍu.,src::lesson-06 cat::numeral tier::core,W0128,Lesson 6 · Numbers,Core — 1 to 10 (learn these first),numeral,core,,
eight,enimidi,ఎనిమిది,,enimidi.,src::lesson-06 cat::numeral tier::core,W0129,Lesson 6 · Numbers,Core — 1 to 10 (learn these first),numeral,core,,
nine,tommidi,తొమ్మిది,,tommidi.,src::lesson-06 cat::numeral tier::core,W0130,Lesson 6 · Numbers,Core — 1 to 10 (learn these first),numeral,core,,
ten,padi,పది,,padi mandi.,src::lesson-06 cat::numeral tier::core,W0131,Lesson 6 · Numbers,Core — 1 to 10 (learn these first),numeral,core,,
forty,nalabhai,నలభై,,nā vayasu nalabhai.,src::lesson-06 cat::numeral tier::core,W0132,Lesson 6 · Numbers,Tens — 40 to 90 (20 and 30 already in your deck),numeral,core,,
fifty,yābhai,యాభై,,yābhai rūpāyalu.,src::lesson-06 cat::numeral tier::core,W0133,Lesson 6 · Numbers,Tens — 40 to 90 (20 and 30 already in your deck),numeral,core,,
sixty,aravai,అరవై,,aravai.,src::lesson-06 cat::numeral tier::core,W0134,Lesson 6 · Numbers,Tens — 40 to 90 (20 and 30 already in your deck),numeral,core,,
seventy,ḍebbhai,డెబ్బై,,ḍebbhai.,src::lesson-06 cat::numeral tier::core,W0135,Lesson 6 · Numbers,Tens — 40 to 90 (20 and 30 already in your deck),numeral,core,,
eighty,enabhai,ఎనభై,,enabhai.,src::lesson-06 cat::numeral tier::core,W0136,Lesson 6 · Numbers,Tens — 40 to 90 (20 and 30 already in your deck),numeral,core,,
ninety,tombhai,తొంభై,,tombhai tommidi = 99.,src::lesson-06 cat::numeral tier::core,W0137,Lesson 6 · Numbers,Tens — 40 to 90 (20 and 30 already in your deck),numeral,core,,
hundred,vanda,వంద,,vanda rūpāyalu.,src::lesson-06 cat::numeral tier::core,W0138,Lesson 6 · Numbers,Large numbers — highest workplace value,numeral,core,,
thousand,veyyi,వెయ్యి,,"reṇḍu vēlu = 2,000.",src::lesson-06 cat::numeral tier::core,W0139,Lesson 6 · Numbers,Large numbers — highest workplace value,numeral,core,,
"lakh — 100,000 (written 1,00,000)",lakṣa,లక్ష,,reṇḍu lakṣalu.,src::lesson-06 cat::numeral tier::core,W0140,Lesson 6 · Numbers,Large numbers — highest workplace value,numeral,core,,
"crore — 10,000,000 (written 1,00,00,000)",kōṭi,కోటి,,oka kōṭi.,src::lesson-06 cat::numeral tier::core,W0141,Lesson 6 · Numbers,Large numbers — highest workplace value,numeral,core,,
rupees,rūpāyalu,రూపాయలు,,yābhai rūpāyalu.,src::lesson-06 cat::noun tier::core,W0142,Lesson 6 · Numbers,Large numbers — highest workplace value,noun,core,,
eleven,padakoṇḍu,పదకొండు,,padakoṇḍu.,src::lesson-06 cat::numeral tier::standard,W0143,Lesson 6 · Numbers,Teens — lower priority,numeral,standard,,
twelve,panneṇḍu,పన్నెండు,,panneṇḍu.,src::lesson-06 cat::numeral tier::standard,W0144,Lesson 6 · Numbers,Teens — lower priority,numeral,standard,,
thirteen,padamūḍu,పదమూడు,,padamūḍu.,src::lesson-06 cat::numeral tier::standard,W0145,Lesson 6 · Numbers,Teens — lower priority,numeral,standard,,
fourteen,padnālugu,పద్నాలుగు,,padnālugu.,src::lesson-06 cat::numeral tier::standard,W0146,Lesson 6 · Numbers,Teens — lower priority,numeral,standard,,
fifteen,padihēnu,పదిహేను,,padihēnu.,src::lesson-06 cat::numeral tier::standard,W0147,Lesson 6 · Numbers,Teens — lower priority,numeral,standard,,
sixteen,padahāru,పదహారు,,padahāru.,src::lesson-06 cat::numeral tier::standard,W0148,Lesson 6 · Numbers,Teens — lower priority,numeral,standard,,
seventeen,padihēḍu,పదిహేడు,,padihēḍu.,src::lesson-06 cat::numeral tier::standard,W0149,Lesson 6 · Numbers,Teens — lower priority,numeral,standard,,
