kind	num	page	english	raw_rom	telugu	scripts	flags
word	82	11	Calendar	Panchangam	పంచాంగం	telugu	
word	83	11	Date	Thedhi	తేదీ	telugu	
word	84	11	Today	Iroju	ఈరోజు	telugu	
word	85	11	Yesterday	Ninna	నిన్న	telugu	
word	86	11	Tomorrow	Repu	రేపు	telugu	
word	87	11	Everyday	Prathiroju	ప్రతిరోజు	telugu	
word	88	11	Day	Roju	రోజు	telugu	
word	89	11					no-english no-romanization no-script
word	90	11	Journey	Prayaanam	పుట్టినరోజు పుట్టినరోజుశుభాకాంక్షలు ప్రయాణం	telugu	
word	92	11	Some	Konni	కొన్ని	telugu	
word	93	11	Little	Konchem	కొంచెం	telugu	
word	94	11	Well	Sare	సరే	telugu	
word	95	12	Good	Manchi	మంచి	telugu	
word	96	12	Bad	Chedu	చెడు	telugu	
word	97	12	It's okay	Paravaaledu	పరవాలేదు	telugu	
word	98	12	No	Kaadhu	కాదు	telugu	
word	99	12	What ?	Emi ?	ఏమి ?	telugu	
word	100	12	For what ?	Endhukku ?	ఎందుకు?	telugu	
word	101	12	Letter	Lekha ඒඛ			no-script
word	102	12	Paper	Kaagitham	పేపర్	telugu	
word	103	12	Book	Pusthakamu	పుస్తకమం	telugu	
word	104	12	Time	Samayam	సమయం	telugu	
word	105	12	Always	Ellappudu	ఎప్పటి లాగా	telugu	
word	106	12	Ear	Chevi	ವವಿ	kannada	kannada-script
word	107	13	Head	Tala	తల	telugu	
word	108	13	Face	Mukhamu	ముఖం	telugu	
word	109	13	Eat	Thinu	తను	telugu	
word	110	13	Drink	Taagu	డాగ్	telugu	
word	111	13	Walk	Nadavadam	నడవడం	telugu	
word	112	13	Letter (alphabet)	Raayu	రాయు	telugu	
word	113	13	Study	Chaduvu	చ్దువ్వ	telugu	
word	114	13	MealsBhojanam		భోజనం	telugu	no-romanization
word	115	13	ClothBatta		బ్ట	telugu	no-romanization
word	116	13	LanguageBaasha		భాష	telugu	no-romanization
word	117	13	Number(number)Ankelu		అంకెలు	telugu	no-romanization
word	118	13	Fruits	Pandlu	పండు	telugu	
word	119	13	Apple	Apple pandu	ఆపల్ పండు	telugu	
word	120	13	Banana	Arati pandu	అర్ట్టపండు	telugu	
word	121	14	Sapota	Sapota	సపోటా	telugu	
word	122	14	Custard apple	Sita phalam	సీా ఫ్లం	telugu	
word	123	14	Grapes	Draksha	త్రదాక్ష	telugu	
word	124	14	Guava	Jam pandu	జంపండు	telugu	
word	125	14	Lemon	Nimmakay	నిమకాయ	telugu	
word	126	14	Lychee	Litchi	ల్లచి	telugu	
word	127	14	Mango	Mamidi pandu	మామిడి పండు	telugu	
word	128	14	Papaya Muskmelonkharbhujapanduఖరుజపండు OrangeKamalapanduక్మలాపండు				no-romanization no-script
word	129	14					no-english no-romanization no-script
word	130	14	Boppaya		బొపాయ్య	telugu	no-romanization
word	131	14	Pear	Peri pandu	పెరి పండు	telugu	
word	132	14	Pineapple	Anaasa pandu	అనాసపండు	telugu	
word	133	14	Plum	Regu pandu	రేగుపండు	telugu	
word	134	15	Direction	Dhikku	దిక్కు	telugu	
word	135	15	East	Thoorupu	తూర్పు	telugu	
word	136	15	West	Paschima	పశ్చిమ	telugu	
word	137	15	North	Uttaram	ఉత్తరం	telugu	
word	138	15	South	Dhakshinam	దక్షిణం	telugu	
word	139	15	Here	Ikkada	ఇక్కడ	telugu	
word	140	15	There	Akkada	అక్కడ	telugu	
word	141	15	Everywhere	Anthataa			no-script
word	142	15	That way	Aa maarghamlo	ఆమార్గంలో	telugu	
word	143	15	Turn left	Yedama vypu thirughu	ఎడమవైపుతిరుగు	telugu	
word	144	15	Tur Turn right	Kudi vypu thirughu	కుడివైపుతిరుగు	telugu	
word	145	15	Turn around	Chuttoo thirughu	చుట్టూతిరుగు	telugu	
word	146	15	Opposite	Yedhurugha	ఎదురుగా	telugu	
word	147	15	Slowly	Melliga	మెల్లిగా	telugu	
word	148	16	Fast	Vegamga	వేగంగా	telugu	
word	149	16	On top	Meedha	మీద	telugu	
word	150	16	Above	Paina	పైన	telugu	
word	151	16	Inside	Lopala	లోపలా	telugu	
word	152	16	Outside	Bayata	బయటా	telugu	
word	153	16	Below	Kindha	కింద	telugu	
word	154	16	Nearby	Sameepamlo	సమీపంలో	telugu	
word	155	16	Left		ఎడమ	telugu	no-romanization
word	156	16			కుడి	telugu	no-english no-romanization
word	157	16	Ahead	Mundhuga	ప్రధమ	telugu	
word	158	16	Behind	Venaka	వెనుక	telugu	
word	159	16	Follow me	Na venta randi	నా వెంటరండి	telugu	
word	160	16	Airport	Vimaanashrayam	విమానాశ్రయం	telugu	
word	161	17	Drive carefully	Jaagraththaghaa nadapandi	జాగ్రత్తగా నడపనుంది	telugu	
word	162	17	Table	GORILA Balla			no-script
word	163	17	Stone	Raayi	రాయి	telugu	
word	164	17	Children	Pillalu	పిల్లలు	telugu	
word	165	17	People	Prajalu	ప్రజలు	telugu	
word	166	17	New	Kottha	కొత్త	telugu	
word	167	17	Old	Paatha	పాత	telugu	
word	168	17	Mad	Pichi	పిచ్చి	telugu	
word	169	17	Question	Prasna	ప్రశ్న	telugu	
word	170	17	Marks	Markulu	మార్కులు	telugu	
word	171	17	Window	Kitiki	కిటికీ	telugu	
word	172	17	Room	Gadhi	గది	telugu	
word	173	17	Clock	Gadiyaram	గడియారం	telugu	
word	174	17	Eat ( Respect	Thinandi	తినండి	telugu	
word	175	18	Resident	Nivasasthudu	నివాసస్థుడు	telugu	
word	176	18	Family	Kutumbam	కుటుంభం	telugu	
word	177	18	Trouble	Ibbandi	ఇబ్బంది	telugu	
word	178	18	Lamp	Deepam	దీపం	telugu	
word	179	18	Be Care	Jagratha	జాగ్రత్త	telugu	
word	180	18	Now	Ippudu	ఇప్పుడు	telugu	
word	181	18	Please	Dayachesi	దయచేసి	telugu	
word	182	18	Writing	Rayadam	రాయడం	telugu	
word	183	18					no-english no-romanization no-script
word	184	18	Go	Vellandi	వెళ్ళండి	telugu	
word	185	18	Give	Ivvandi	ఇవ్వండి	telugu	
word	186	18	Stay	Undu	ఉండు	telugu	
word	187	18	Patience	Opika	ఓపిక	telugu	
word	188	19	Interrupt	Aantharayam	అంతరాయం	telugu	
word	189	19	Respect	Gowravam	గౌరవం	telugu	
word	190	19	Elders	Peddhavaallu	పెద్దవాళ్లు	telugu	
word	191	19	Reason	Kaaranam	కారణం	telugu	
word	192	19	Happiness	Santhosham	సంతోషం	telugu	
word	193	19	Clean	Subramaina	శుభ్రమైన	telugu	
word	194	19	Print	Mudrana	ముద్రణ	telugu	
word	195	19	Best	Utthama	ఉత్తమ	telugu	
word	196	19	Reply	Samadhanam			no-script
word	197	19	Promise	Pramanam	ప్రమాణం	telugu	
word	198	19	Noise	Sabdham	శబ్దం	telugu	
word	199	19	Like	Istam	ఇష్టం	telugu	
word	200	19	Love	Prema	ప్రేమ	telugu	
word	201	20	Attraction	Aakarshana	ఆకర్షణ	telugu	
word	202	20	Hate	Dwesham	ద్వేషం	telugu	
word	203	20	Marriage	Pelli	పెళ్లి	telugu	
word	204	20	School	Paatashala	పాఠశాల	telugu	
word	205	20	Picture	Bomma	బొమ్మ	telugu	
word	206	20	Price	Dhara	ధర	telugu	
word	207	20	Cry	Eadupu	ఏడుపు	telugu	
word	208	20	Smile	Navvu	నవ్వు	telugu	
word	209	20	Rose	Gulabi	గులాబీ	telugu	
word	210	20	Right now	Ippude	ఇప్పుడే	telugu	
word	211	20	Large	Peddadi	పెద్దది	telugu	
word	212	20	Small	Chinnadi	చిన్నది	telugu	
word	213	20	Dog	Kukka	కుక్క	telugu	
word	214	20	Beating	Kottadam	కొట్టడం	telugu	
word	215	21	Cow	Aavu	ఆవు	telugu	
word	216	21	Fly	Eega	ఈగ	telugu	
word	217	21	Squirrel	Udutha	ఉడుత	telugu	
word	218	21	Cradle	Ooyala	ఊయల	telugu	
word	219	21	Rishi	Rishi	రిషి	telugu	
word	220	21	Rat	Eluka	ఎలుక	telugu	
word	221	21	Elephant	Yenugu	ఏనుగు	telugu	
word	222	21	Sea	Samudram	సముద్రం	telugu	
word	223	21					no-english no-romanization no-script
word	224	21	Gumpu		గుంపు	telugu	no-romanization
word	225	21	Words	Padaalu	పదాలు	telugu	
sentence	1	22	I am	Nenu	నేను	telugu	
sentence	2	22	I gave	Nenu ichanu	నేనుఇచ్చాను	telugu	
sentence	3	22	You go	Nuvvu vellu	నువ్వువెళ్ళు	telugu	
sentence	4	22	I know	Naku telusu	నాకుతెలుసు	telugu	
sentence	5	22	Why me ?	Nenu enduku ?	నేనుఎందుకు?	telugu	
sentence	6	22	So am I	Nenu kuda	నేనుకూడా	telugu	
sentence	7	22	I wrote	Nenu vrasanu	నేనువ్రాసాను	telugu	
sentence	8	22	I drank	Nenu	నేను	telugu	
sentence	9	22	Not bad	Chedu kadu	చెడుకాదు	telugu	
sentence	10	22	Not yet	Inka ledu	ఇంకా లేదు	telugu	
sentence	11	22	Turn it	Danni tippandi	దాన్నితిప్పండి	telugu	
sentence	12	22	Hold on	Pattukondi	పట్టుకోండి	telugu	
sentence	13	22	Lift it	Danni ethandi	దాన్ని ఎత్తండి	telugu	
sentence	14	23	Push it	Troyumu /nettandi	త్రోయుము/నెట్టండి	telugu	
sentence	15	23	Pull it	Dinini lagumu / lagandi	దీనిని లాగుము/లాగండి	telugu	
sentence	16	23	It's me	Adi nene	ಅದಿ ನನ	kannada	kannada-script
sentence	17	23	Blow it	Oodandi	ఊదండి	telugu	
sentence	18	23	Tear it	Danni chimpiveyandi	దాన్నిచింపివేయండి	telugu	
sentence	19	23	Come in	Lopalaki randi	లోపలికి రండి	telugu	
sentence	20	23	Go back	Venakki vellandi	వెనక్కి వెళ్ళండి	telugu	
sentence	21	23	I do it	Nenu chestanu	నేనుచేస్తాను	telugu	
sentence	22	23	We went	Memu vellamu	మేమువెళ్ళాము	telugu	
sentence	23	23	Go away	Vellipondi	వెళ్లిపోండి	telugu	
sentence	24	23	Take it	Teesukondi	తీసుకోండి	telugu	
sentence	25	23	Got it ?	Ardamainda ?	అర్థమైందా?	telugu	
sentence	26	23	Let's go	Veldam	వెళాం	telugu	
sentence	27	23	I opened	Nenu terichanu	నేనుతెరిచాను	telugu	
sentence	28	24	Why not ?	Enduku kadu	ఎందుకుకాదు	telugu	
sentence	29	24	So did I	Nenu ala chesanu	నేనుఅలా చేసాను	telugu	
sentence	30	24	Just now	Ippude	ఇప్పుడే	telugu	
sentence	31	24	You gave	Miru icharu	మీరుఇచ్చారు	telugu	
sentence	32	24	They saw	Varu chusaru	వారుచూశారు	telugu	
sentence	33	24	Throw it	Visireyandi	విసిరేయండి	telugu	
sentence	34	24	Not that	Adi kadu	అది కాదు	telugu	
sentence	35	24	Not this	Idi kadu	ఇది కాదు	telugu	
sentence	36	24	Paste it	Athikinchandi	అతికించండి	telugu	
sentence	37	24	Hurry up	Tvaraga	త్వరగా	telugu	
sentence	38	24	Step out	Bayataki vellandi	బయటకి వెళ్ళండి	telugu	
sentence	39	24	Have fun	Anandinchandi	ఆనందించండి	telugu	
sentence	40	24	I did it	Nenu chesanu	నేనుచేసాను	telugu	
sentence	41	25	Sit here	Ikkada kurchondi	ఇక్కడకూర్చోండి	telugu	
sentence	42	25	Run fast	Veganga parigethandi	వేగంగా పరిగెత్తండి	telugu	
sentence	43	25	And you ?	Mariyu miru	మరియుమీరు	telugu	
sentence	44	25	Use this	Dinni upayoginchandi	దీన్నిఉపయోగించండి	telugu	
sentence	45	25	I'm sick	Na arogyamu baga ledu	నా అరోగ్యముబాగా లేదు	telugu	
sentence	46	25	Remember	Gurtu	గుర్తు	telugu	
sentence	47	25	Be quiet	Nishabdanga undandi	నిశ్సబ్దంగాఉండండి	telugu	
sentence	48	25	Trust me	Nannu nammandi	నన్నునమ్మండి	telugu	
sentence	49	25	Ram goes	Ram	రామ్ వెళతారు	telugu	
sentence	50	25	He walks	Ayana nadustaru	అయననడుస్తారు	telugu	
sentence	51	25	Clean it	Shubram cheyandi	శుభ్రంచేయండి	telugu	
sentence	52	25	Really ?	Nijanga ?	నిజంగా?	telugu	
sentence	53	25	Be ready	Siddanga undandi	సిద్ధంగాఉండండి	telugu	
sentence	54	25	Too bad !	Chala cheddadi	చాలా చెడ్డది	telugu	
sentence	55	26	I am not	Nenu kadu	నేనుకాదు	telugu	
sentence	56	26	Leave it	Vadileyandi	వదిలేయండి	telugu	
sentence	57	26	Let's go !	Veldam !	వెళాం!	telugu	
sentence	58	26	Stand up !	Nilabadandi !	నిలబడండి !	telugu	
sentence	59	26	Excuse me	Kshaminchandi	క్షమించండి	telugu	
sentence	60	26	As usual !	Yadhavidhiga	యధావిధిగా	telugu	
sentence	61	26	Who said ?	Evaru chepparu ?	ఎవరుచెప్పారు?	telugu	
sentence	62	26	Who goes ?	Evaru veltaru ?	ఎవరువెళ్తారు?	telugu	
sentence	63	26	Here I am	Nenu ikkada unnanu	నేనుఇక్కడఉన్నాను	telugu	
sentence	64	26	I gave it	Nenu ichanu	నేనుఇచ్చాను	telugu	
sentence	65	26	Over here	Ikkada	ఇక్కడ	telugu	
sentence	66	26	Come home	Intiki randi	ఇంటికి రండి	telugu	
sentence	67	26	I am hurt	Nenu aliganu	నేనుఅలిగాను	telugu	
sentence	68	27	Don't cry	Edavakandi	ఏడవకండి	telugu	
sentence	69	27	Do it now	Ippude cheyandi	ఇప్పుడేచేయండి	telugu	
sentence	70	27	I am here	Nenu ikkada unnanu	నేనుఇక్కడఉన్నాను	telugu	
sentence	71	27	I am only	Nenu matrame	నేనుమాత్రమే	telugu	
sentence	72	27	Stay away	Dooranga undandi	దూరంగా ఉండండి	telugu	
sentence	73	27	Ignore it	Danni vismarinchandi	దాన్ని విస్మరించండి	telugu	
sentence	74	27	It's easy	Idi sulabham	ఇది సులభం	telugu	
sentence	75	27	It's hard	Adi kastam	అది కష్టం	telugu	
sentence	76	27	It's gone	Adi poindi	అది పోయింది	telugu	
sentence	77	27	Come soon	Tvaraga randi	త్వరగా రండి	telugu	
sentence	78	27	Let me go	Nannu vellanivvandi	నన్నువెళ్లనివ్వండి	telugu	
sentence	79	27	Who came ?	Evaru vacharu	ఎవరువచ్చారు	telugu	
sentence	80	27	She spoke	Ame matladaru	ఆవిడమాట్లాడారు	telugu	
sentence	81	27	Don't hit	Kottakandi	కొట్టకండి	telugu	
sentence	82	28	Pardon me	Kshaminchandi	క్షమించండి	telugu	
sentence	83	28	Look here	Ikkada chudandi	ఇక్కడచూడండి	telugu	
sentence	84	28	Walk slowly	Nemmadiga nadavandi	నెమ్మదిగా నడవండి	telugu	
sentence	85	28	Leave him	Athadini vidichipettandi	ఆయనని విడిచిపెట్టండి	telugu	
sentence	86	28	See there	Akkada chudandi	అక్కడచూడండి	telugu	
sentence	87	28	I am lost	Nenu tappipoyanu	నేనుతప్పిపోయాను	telugu	
sentence	88	28					no-english no-romanization no-script
sentence	89	28					no-english no-romanization no-script
sentence	90	28					no-english no-romanization no-script
sentence	91	28					no-english no-romanization no-script
sentence	94	28	Slow down	Vegam tagginchandi	వేగంతగ్గించండి	telugu	
sentence	95	29	I'm eight	Naku enimidi samvatsaralu	నాకుఎనిమిది సంవత్సరాలు	telugu	
sentence	96	29	It's 6:30 pm	Sayantram 6 : 30gantalu	సాయంత్రం6:30 గంటలు	telugu	
sentence	97	29	Forget it	Marchipondi	మర్చిపోండి	telugu	
sentence	98	29	Ram walks	Ram naduchunu	రామ్ నడుచును	telugu	
sentence	99	29	Ram plays	Ram adutharu	రామ్ ఆడుతారు	telugu	
sentence	100	29	Take away	Teesiveyandi	తీసివేయండి	telugu	
sentence	101	29	I got sad	Naku badhaga undi	నాకుబాధగా ఉంది	telugu	
sentence	102	29	Get ready	Siddanga undandi	సిద్దంగాఉండండి	telugu	
sentence	103	29	Chala bagundi		చాలా బాగుంది	telugu	no-romanization
sentence	104	29	Let it be	Ala undanivvandi	అలా ఉండనివ్వండి	telugu	
sentence	105	29	Yes or no ?	Avuna leda	అవునా లేదా	telugu	
sentence	106	29	Good noon !	Shubha madyahnam	శుభమధ్యాహ్నం	telugu	
sentence	107	29	All right !	Ayithe sare	అయితే సరే	telugu	
sentence	108	30	Very good !	Chala manchidi	చాలా మంచిది	telugu	
sentence	109	30	Is Ram in ?	Ram unnara ?	రామ్ ఉన్నారా?	telugu	
sentence	110	30	Who knows ?	Evariki telusu	ఎవరికీ తెలుసు	telugu	
sentence	111	30	Thank God !	Devuniki danyavadalu	దేవునికి ధన్యవాదాలు	telugu	
sentence	112	30	May I sit ?	Nenu kurchovacha	నేనుకూర్చోవచ్చా?	telugu	
sentence	113	30	I am ready	Nenu siddanga unnanu	నేనుసిద్ధంగా ఉన్నాను	telugu	
sentence	114	30	let's talk	Manam matladukundam			no-script
sentence	115	30					no-english no-romanization no-script
sentence	116	30					no-english no-romanization no-script
sentence	118	30					no-english no-romanization no-script
sentence	119	30	Had lunch ?	Bhojanam chesara	భోజనంచేసారా	telugu	
sentence	120	30	Please sit	Dayachesi kurchondi	దయచేసి కూర్చోండి	telugu	
sentence	121	31	Turn it on	Danni on cheyandi	దాన్ని ఆన్ చేయండి	telugu	
sentence	122	31	I gotta go	Nenu vellali	నేనువెళ్ళాలి	telugu	
sentence	123	31	I am bored	Nenu visugu chendanu	నేనువిసుగుచెందాను	telugu	
sentence	124	31	Who is he ?	Athanu evaru ?	అయనఎవరు	telugu	
sentence	125	31	Yes , it is	Avunu ade	అవునుఅదే	telugu	
sentence	126	31	What's up ?	Emiti sangathulu	ఏమిటి సంగతులు	telugu	
sentence	127	31	Just taste it	Ruchi chudandi	రుచి చూడండి	telugu	
sentence	128	31	from when ?				no-romanization no-script
sentence	129	31					no-english no-romanization no-script
sentence	130	31					no-english no-romanization no-script
sentence	131	31					no-english no-romanization no-script
sentence	132	31					no-english no-romanization no-script
sentence	133	31	Thannakandi		తన్నకండి	telugu	no-romanization
sentence	134	31	Don't yell	Kekalu veyavaddu	కేకలువేయవద్దు	telugu	
sentence	135	32	I don't go	Nenu vellanu	నేనువెళ్ళను	telugu	
sentence	136	32	Here it is	Idigo	ఇదిగో	telugu	
sentence	137	32	He will do	Ayana chestaru	అయనచేస్తారు	telugu	
sentence	138	32	Look at me	Nannu chudandi	నన్నుచుడండి	telugu	
sentence	139	32	You may go	Miru vellavachu	మీరువెళ్ళవచ్చు	telugu	
sentence	140	32	I like him	Athanante nakishtam	అతనంటే నాకిష్టం	telugu	
sentence	141	32	I like her	Naku ame istamu	నాకుఆమె ఇష్టము	telugu	
sentence	142	32	I'm single	Nenu ontariga unnanu	నేనుఒంటరిగా ఉన్నాను	telugu	
sentence	143	32	I remember	Naku gurtundi	నాకుగుర్తుంది	telugu	
sentence	144	32	I am tired	Nenu alasipoyanu	నేనుఅలసిపోయాను	telugu	
sentence	145	32	I am great	Nenu beshugga unnanu	నేనుభేషుగ్గా ఉన్నాను	telugu	
sentence	146	32	My name is	Na peru	నా పేరు	telugu	
sentence	147	32	I like you	Mirante nakistam	మీరంటే నాకిష్టం	telugu	
sentence	148	33	Never mind	Paravaledu	పర్వాలేదు	telugu	
sentence	149	33	Find a job	Oka udyogam vetukkondi	ఒకఉద్యోగంవెతుక్కోండి	telugu	
sentence	150	33	Be with me	Natho undandi	నాతోఉండండి	telugu	
sentence	151	33	Let me see	Nannu chudanivvandi	నన్నుచుడనివ్వండి	telugu	
sentence	152	33	Go to hell	Narakaniki vellu	నరకానికి వెళ్ళు	telugu	
sentence	153	33	It's a sin	Adi papam	అది పాపం	telugu	
sentence	154	33	Be serious	Tivranga undandi	తీవ్రంగాఉండండి	telugu	
sentence	155	33	No problem	Emi ibbandi ledu	ఏమి ఇబ్బంది లేదు	telugu	
sentence	156	33	This is me	Idi nene	ಇದಿ ನೆನ	kannada	kannada-script
sentence	157	33	Very nice !	Chala bagundi	చాలా బాగుంది	telugu	
sentence	158	33	It is love	Idi prema	ఇదిప్రేమ	telugu	
sentence	159	33	Let's walk	Ala naduddama	అలా నడుద్దామా	telugu	
sentence	160	33	How was it ?	Adi ela undi ?	అది ఎలా ఉంది ?	telugu	
sentence	161	33	I will open	Nenu terustanu	నేనుతెరుసాను	telugu	
sentence	162	34	Look at me!	Nannu chudandi	నను చుడండి	telugu	
sentence	163	34	Good night!	Shubha rathri	శుభరాత్రత	telugu	
sentence	164	34	Why not me?	Nenu enduku kadu?	నేనుఎందుకుకాదు?	telugu	
sentence	165	34	Same to you	Miku alage	మీకుఅలాగే	telugu	
sentence	166	34	Who danced?	Evaru nrithyam chesaru?	ఎవరునృతంచేశారు?	telugu	
sentence	167	34	Who did it?	Dinini evaru chesaru?	దీనిని ఎవరుచేశారు?	telugu	
sentence	168	34	He ate soon	Athanu ventane thinnaru	అయనవెంటనే తనారు	telugu	
sentence	169	34	I can do it	Nenu cheyagalanu	నేనుచేయగలను	telugu	
sentence	170	34	I may do it	Nenu cheyavachu	నేనుచేయవచు	telugu	
sentence	171	34	Go straight	Thinnaga vellandi	తనగా వెళ్ండి	telugu	
sentence	172	34	That's true	Adi nijam	అది నిజం	telugu	
sentence	173	34	I missed it	Nenu danini kolpayanu	నేనుదానిని కోలోయాను	telugu	
sentence	174	34	No, I don't	Ledu nenu cheyanu	లేదునేనుచేయను	telugu	
sentence	175	35	It's Ramesh	Idi ramesh	ఇది రమేష్	telugu	
sentence	176	35	Don't trust	Nammakandi	నమ్మకండి	telugu	
sentence	177	35	Nobody gave	Evvaru ivvaledu	ఎవరూఇవ్వలేదు	telugu	
sentence	178	35	Turn it off	Danni apiveyandi	దాన్నిఆపివేయండి	telugu	
sentence	179	35	I am hungry	Naku akali ga undi	నాకుఆకలిగా ఉంది	telugu	
sentence	180	35	Who is she ?	Avida evaru ?	ఆవిడఎవరు?	telugu	
sentence	181	35	Do it later	Taruvata cheyandi	తరువాతచేయండి	telugu	
sentence	182	35	Step inside	Lopaliki	లోపలికి అడుగు	telugu	
sentence	183	35	Just joking	Urike hasyam chestunna	ఊరికే హాస్యంచేస్తున్నా	telugu	
sentence	184	35	Write to me	Naku rayandi	నాకురాయండి	telugu	
sentence	185	35	Just coming	Ippude vasthondi	ఇప్పుడే వస్తోంది	telugu	
sentence	186	35	He is short	Ayana pottiga unnaru	అయనపొట్టిగాఉన్నారు	telugu	
sentence	187	35	It was here	Idi ikkada unde	ఇది ఇక్కడఉండే	telugu	
sentence	188	35	Don't drink	Thagakandi	తాగకండి	telugu	
sentence	189	36	Welcome sir	Svagatham saar	స్వాగతంసార్	telugu	
sentence	190	36	Shall we go	Manam veldama	మనంవెళ్లామా	telugu	
sentence	191	36	I asked him	Nenu ayanani adiganu	నేనుఆయనని అడిగాను	telugu	
sentence	192	36	Put it down	Kinda pettandi	కిందపెట్టండి	telugu	
sentence	193	36	I still eat	Nenu inka thintanu	నేనుఇంకా తింటాను	telugu	
sentence	194	36	Go this way		ఈమార్గంలో Ee marganlo vellandi వెళ్ళండి	telugu	no-romanization
sentence	195	36	I can write				no-romanization no-script
sentence	196	36					no-english no-romanization no-script
sentence	197	36					no-english no-romanization no-script
sentence	198	36	I'm nervous	Bhyamga undi naku	బయంగా వుంది నాకు	telugu	
