lesson	seq	speaker	en	rom	legacy	keys	flags
10	17	X™èþ	are my mother's. The yellow sari is elder sister's. The rest are my sister-in-law's. Look here. The lady in this photograph is my sister-in-law.		X™èþ : G{Ææÿ `Ææÿ, ™ðþËÏ `Ææÿ Ðèþ* AÐèþ$ÃÑ. ç³çÜ$ç³#ç³^èþa `Ææÿ Ðèþ* AMæüPÄæý$Å¨. Ñ$WÍ¯èþÑ Ðèþ* Ðèþ¨¯èþÑ. C§æþ$Vø D ¸ùsZÌZ BÑyæþ Ðèþ* Ðèþ¨¯èþ.	2:179.2;2:193.6;2:208.0;2:222.4	no-rom
10	18	ÑfÄæý$	Is she your sister-in-law? She is a lecturer in your college. Isn't she?		ÑfÄæý$ : DÑyóþ¯é Ò$ Ðèþ¨¯èþ? DÑyæþ Ò$ M>ÌôýiÌZ ÌñýMæüaÆæÿÆŠÿ Mæü§æþ*?	2:251.0;2:265.4	no-rom
10	19	X™èþ	Yes.		X™èþ : AÐèþ#¯èþ$.	2:294.2	no-rom
10	20	ÑfÄæý$	Her name is Saroja. Isn't it?		ÑfÄæý$ : DÑyæþ õ³Ææÿ$ çÜÆøf Mæü§æþ*?	2:323.0	no-rom
10	21	X™èþ	Yes.		X™èþ : AÐèþ#¯èþ$.	2:351.7	no-rom
10	22	ÑfÄæý$	Where is she now?		ÑfÄæý$ : BÑyæþ Cç³šyæþ$ GMæüPyæþ$¯é²Ææÿ$?	2:380.5	no-rom
10	23	X™èþ	She is here. These are her saris.		X™èþ : CMæüPyóþ E…¨. CÑ BÑyæþ `ÆæÿÌôý!	2:409.3	no-rom
10	24	MæüÐèþ$Ë	Leela! Which are yours in these new clothes?		MæüÐèþ$Ë : ÎÌê! D Mö™èþ¢ ºrtËÌZ HÑ ±Ñ?	2:450.1	no-rom
10	25	ÎË	This white gown/frock is mine. This red one is also mine.		ÎË : D ™ðþËÏVú¯èþ$ ¯é¨. D G{Ææÿ¨ Mæü*yé ¯é§óþ.	2:478.9;2:493.3	no-rom
10	26	MæüÐèþ$Ë	Is this red one yours? Whose shirt is this?		MæüÐèþ$Ë : D G{Ææÿ¨ ±§é? D ^öM>P GÐèþÇ¨?	2:521.9	no-rom
10	27	ÎË	This is our Babu's.		ÎË : C¨ Ðèþ* »êº$¨.	2:550.8	no-rom
10	28	MæüÐèþ$Ë	Which class is your Babu in?		MæüÐèþ$Ë : Ò$ »êº$ G¯ø² ™èþÆæÿVæü†?	2:579.6	no-rom
10	29	ÎË	6th class.		ÎË : BÆø ™èþÆæÿVæü†.	2:608.8	no-rom
10	30	MæüÐèþ$Ë	Here are our festival clothes. Mine is the green gown/frock. My brother's is the black shirt.		MæüÐèþ$Ë : CÑVø CÑ Ðèþ* ç³…yæþVæü ºrtË$. ¯é¨ BMæü$ç³^èþa Vú¯èþ$. Ðèþ* ™èþÐèþ$$Ãyìþ¨ ¯èþËÏ ^öM>P.	3:178.7;3:192.3;3:205.9	no-rom
10	31	ÎË	The red is a good/nice colour. The green and the black are not good/nice colours.		ÎË : GÆæÿ$ç³# Ðèþ$…_ Ææÿ…Væü$. BMæü$ç³^éa ¯èþË$ç³N Ðèþ$…_ Ææÿ…Væü$Ë$ M>§æþ$.	3:233.1;3:246.7	no-rom
10	32	»êº$	The white is also a good/nice colour.		»êº$ : ™ðþË$ç³# Mæü*yé Ðèþ$…_ Ææÿ…Vóü!	3:273.9	no-rom
10	33	MæüÐèþ$Ë	Is not the green a good/nice colour? The leaves are green.		MæüÐèþ$Ë : BMæü$ç³^èþa Ðèþ$…_ Ææÿ…Væü$ M>§é? BMæü$Ë$ BMæü$ç³^èþa.	3:301.3;3:314.9	no-rom
10	34	ÎË	The flowers are red.		ÎË : ç³NË$ GÆæÿ$ç³#.	3:342.1	no-rom
10	35	MæüÐèþ$Ë	All the leaves are green. But all the flowers are not red. Some are red, some are white, some are yellow and some are rose in colour.		MæüÐèþ$Ë : BMæü$Ë$ A±² BMæü$ç³^èþa Ææÿ…Vóü! ç³NË$ A±² GÆæÿ$ç³# M>§æþ$. Mö°² GÆæÿ$ç³#. Mö°² ™ðþË$ç³#. Mö°² ç³çÜ$ç³#ç³^èþa. Mö°² Væü$Ìê½ Ææÿ…Væü$.	3:369.3;3:382.9;3:396.5;3:410.1	no-rom
10	36	ÎË	There my father is. It is holiday today. He is at home. Father! Is green a good / nice colour? or red?		ÎË : A§æþ$Vø Ðèþ* ¯é¯èþ²V>Ææÿ$. CÐóþÓâæý òÜËÐèþ#. C…sìý §æþVæüYÆóÿ E¯é²Ææÿ$. ¯é¯èþ²V>Ææÿ*! BMæü$ç³^èþa Ðèþ$…_ Ææÿ…V>! GÆæÿ$ç³# Ðèþ$…_ Ææÿ…V>?	3:437.3;3:450.9;3:464.5;3:478.3	no-rom
10	37	Æ>Ðèþ*Æ>Ðèþ#	All are good/nice colours, dear!		Æ>Ðèþ*Æ>Ðèþ# : A±² Ðèþ$…_ Ææÿ…Væü$Ìôý¯èþÐèþ*Ã!	3:505.5	no-rom
