lesson	te	en
4	ఎక్కడ	where
4	కింద	under; below;
4	ఉన్నాయి	they (neut.)
4	'లెక్కపెట్టు	count (v)
4	అవి	those (pro.)
4	ఒకటి	one (pro.)
4	ఆ	that; those
4	ఆరు	six
4	దగ్గర	at' near
4	ఏడు	seven
4	ఏవి	which (pl. pro.)
4	ఎనిమిది.	eight
4	చూడు.	see! look!
4	తొమ్మిది	nine
4	నాలుగు,	four
4	పది	ten
4	పెట్టె	box
4	పదకొండు	eleven
4	మీద	on; upon
4	పన్నెండు	twelve
4	పదమూడు.	thirteen
4	ఉంది	it is / was
4	పధ్నాలుగు	fourteen
4	లేదు	neg.of
4	పదిహేను	fifteen
4	పక్కన	by the side of
5	వాళ్లు	they
5	ఎంతమంది.	how many
5	గురు,	a human
5	ఒకడు,	one (masc.
5	మేం	we (excl.)
5	ఇద్దరు	two (hum.)
5	ఒకతె	One (fem.
5	మనం	We (incl.)
5	ముగ్గురు	three
5	వీళ్లు	they (hum.
5	నలుగురు	four
5	దేశం	country
5	-మంది.	a human
5	మా	our (excl.)
5	క్లాసు.	class-room
5	వాళ్ల	their
5	వీళ్ల	their
5	స్ఫూలు	school
5	మన	our (incl.)
5	ఆంధ్రుడు	an Andhra
5	మాతృభాష	mother-
5	కన్నడం	kannada (n.)
5	భారతీయుడు.	Indian
5	తమిళం	Tamil (n.)
5	మళయాళం	Malayalam
5	ఒరియా	Oriya
5	భాష	language
5	"""భారతదేశం"	India
5	దేశం	country
6	పోస్టాఫీసు	Post-office
6	కన్యాశుల్కం	(A Telugu '
6	అలమర	cup-board
6	తీసుకో	take
6	అన్నదమ్ములు	brothers
6	అన్నయ్య	elder brother
6	తమ్ముడు	Younger brother
6	బస్టాండు.	Bus-stand
6	కవరు	Envelope
6	తీసుకురా	bring!
7	అమెరికా	America; USA
7	లేను	neg. of
7	ఉన్నారు	he/she (hon.) is/was;
7	చెల్లెలు	younger sister
7	లేద్ను	neg. of
7	అలా	in that way/direction/
7	ఉన్నాను	I am/was
7	లేవు,	neg. of
7	అబ్బాయి	boy; son (with pl. pro. adj.)
7	లేం	neg. of
7	వాడు	he (rem. inf.)
7	ఉన్నాం	we (excl. & incl.) are/
7	వాడి	oblique base of
7	'వాడు	were
7	ఉన్నాడు	he (inf. & eql.) is/was
7	ఎందుకు	why; for what reason
7	ఇప్పుడు	now; at present
7	లేరు	neg. of
7	ఇక్కడ	here; at this place
7	అప్పుడు	then; at that time
7	లేడు	neg. of
7	“ఉన్నాడు.	Guntur (a city)
7	గుంటూరు.	Guntur (a city)
7	వీడు	he (inf. prox.)
7	అక్కడ	there; at that place
7	వీడి	oblique base of
7	“వీడు,	you (hon. sg. & pl.) are/were
7	ఉన్నారు	you (hon. sg. & pl.) are/were
7	అమ్మాయి.	girl; daughter (with pl.
7	ఉన్నావు	you (non-hon. sg.) are/were
7	లేర్ము	neg. of
7	అది	she (rem. inf.)
7	ఉంద్చి	she (inf.) is/was
7	దాని	oblique base of
7	అది	all the people
7	అందరూ	all the people
7	ఇది,	she (prox. inf.)
7	పుట్టినరోజు	birth-day
7	దీని	oblique base of
7	ఇది,	clothes
7	బట్టలు	clothes
7	బొమ్మ	doll; picture
7	ఇవిగో	here they (neut.) are
7	ఏనుగు	elephant
7	ఎప్పుడు	when
7	కోతి	monkey
7	ఇవ్వేళ	today
7	ప్తలి	tiger
7	అదుగో,	there she (inf. & eql.) is
7	సింహం	lion
7	అక్కయ్య	elder sister
7	అదుగో,	There it is!
7	రేపు	tomorrow
7	ఇదుగో,	Here it is!
7	అవిగో	there they (neut) are
7	ఇలా	in this way/direction/
7	ఏది,	who (fem. inf. & eql.) is?
7	ఇవ్వు	give
7	ఇదుగో	here she (fem. & eql.) is
8	బాగు	good; nice; well; fine (a
8	ఎలా	how; in which way/man-
8	ఇవి	own (adj.) (See 8.17.2.) oblique base of
8	ఇళ్ళు	plural of  emotions
8	ఇంటి	oblique form of  life
8	అవి,	number oblique base of
8	ప్రయాణం	journey on; 2. to shut (like a
8	డిసెంబరు	December door or a shutter)
8	ఎక్కువ	more address marker
8	అక్టోబరు	October a fan
8	ఫాను	October a fan
8	మొదటి	first door or a shutter)
8	చివరి	last; final
9	తాతయ్య	grandfather
9	వి	predicate marker
9	పిల్లలు	children
9	ది	predicate marker
9	ఏరి	Where he/she (hon.)/they
9	ఏడి	Where he (non-hon.) is?
9	అరుగో	There he/she (hon.)/they
9	అడుగో	There he (non-hon. sg.) is!
9	ఇడుగో	Here he (non-hon. sg.) is!
9	సంచి/సంచీ	a bag
9	కదా?	a tag question
9	పూలు	flowers (pl. of
9	ఏం	Mahatma Gandhi what (pronoun)
9	మహాత్మా గాంధీ	Mahatma Gandhi what (pronoun)
9	పువ్వు	the birthday of flower
9	గాంధీ జయంతి.	the birthday of flower
9	ఇరుగో	Mahatma Gandhi Here he/she (hon.)/they
9	మరి	then; if so (as a sentence
9	నాయనమ్మ	father's mother
9	చొక్కా	a shirt
9	చాక్లెట్టు	chocolate
9	బావ	brother-in-law
9	ఖరీదు	price
9	సరే!	Okay! Yes!
9	ఎంత	how much
9	ముఖ్యమైన	important (adj.)
9	రూపాయలు	rupees (pl. of
9	ప్రశ్న	a question
9	ఒక్కొక్క	one each (adj.)
9	ఇంకా.	more; still; yet
9	ఒక్కొక్కటి.	one each (pronoun)
9	-ఓ	ordinal marker
9	రూపాయి.	a rupee
9	ఎన్నో	ordinal count interroga-
9	కొత్త	new
9	పాత	old (opposite of
9	తారీకు,	date in the calander
9	పద్ధెనిమిది.	eighteen
9	జనవరి	January
9	నెల	month
9	ఫిబ్రవరి	February
10	దసరా	Dasara
10	గులాబీ.	rose
10	పండగ	festival
10	రంగు	colour
10	రోజు.	day
10	మిగిలిన	remaining
10	దుర్గాష్టమి	Durgashtami
10	ఎర్ర	red (adj.)
10	మహర్నవమి.	Maharnavami
10	తెల్ల	white (adj.)
10	విజయదశమి.	Vijayadasami
10	పసుపుపచ్చ	yellow
10	ఇరవై	twenty
10	వదిన	elder brother's wife;
10	పంధామ్మిది.	nineteen
10	ఎల్లుండి	day after tomorrow
10	అయితే,	if so
10	అన్నమాట	an expression of confirmation
10	చీరె/చీర	saree
10	ఆకుపచ్చ	green
10	ఆవిడ	she/that lady (rem.hon.)
10	ఈవిడ	she/this lady
10	గౌను,	gown; frock
10	తరగతి	class
10	కాలేజీ.	college
10	నల్ల	black (adj.)
10	లెక్సరర్‌	lecturer
10	ఎరుపు	red (n)
10	కదూ?	equivalent to
10	కదా?	(see
10	నలుపు	black (n)
10	తెలుపు,	white (n)
10	ఈవిడ.	her (pos.) (prox.hon.)
10	ఆకు	leaf
10	ఆవిడ	her (pos.) (rem.-hon.)
10	సెలవు	holiday
11	టైము.	time
11	ముప్పావు	three-quarter
11	ముప్ఫై	thirty
11	తప్పు	fault; mistake; wrong
11	నలభై	forty
11	మళ్ళీ	again
11	యాభై	fifty
11	తర్వాత	after
11	ఒంటిగంట	one o'clock
11	పాసింజరు	passenger
11	కరెక్టు	correct
11	ఎక్స్‌ప్రెస్‌	express
11	నిమిషం	minute
11	మొన్న	day before yesterday
11	స్తో	slow
11	శుక్రవారం	Friday
11	ఫాస్టు	fast
11	“సోమవారం	Monday
11	'గోడగడియారం	wall clock
11	నిన్న	yesterday
11	గంట	hour
11	ఆదివారం	Sunday
11	అర	half
11	శనివారం	Saturday
11	బిఎ.	Wednesday
11	బుధవారం	Wednesday
11	బి.ఎస్‌సి.	B.Sc.
11	మంగళవారం	Tuesday
11	బి.కామ్‌.	B.Com.
11	రిపబ్లిక్‌డే	Republic Day
11	డిప్లామా	diploma
11	మర్నాడు,	The next day
11	బస్సు	bus
11	కాలెండరు.	calendar
11	పావు	quarter
11	గురువారం	Thursday
12	తాజా	keepter) fresh
12	'టొమేటో	tomato ber fruit
12	పాలకూర	a certain potherb vegetables
12	'బచ్చలకూర	used as a vegetable Indian spinach
12	'సిటీబస్సు	city-bus
13	-కు/-కి	dative case suffix
13	డెబ్భై	seventy
13	ఉద్యోగం.	job; employment
13	ఎనభై	eighty
13	ఊరు	village, town
13	లెక్కలు,	mathematics
13	ఏలూరు	per cent Eluru (a town)
13	నూటికి	per cent Eluru (a town)
13	ఊళ్ళో	year locative form of
13	సంవత్సరం	year locative form of
13	ఊరు (	education
13	చదువు	education
13	ఊళ్ళు	plural form of
13	ఊరు.	but
13	కాని	but
13	చాలా	very (adv.)
13	పెద్ద.	big; large; elder
13	ది (	(fem.) feminine non-honorific
13	చిన్న	small; little
13	ఆడ	female
13	మగ	male
13	వాడు	masculine non-honorific
13	ఏళ్ళు	predicate marker
13	ఏడు (	predicate marker
13	ఏడు	year
13	ఆడపిల్ల.	girl
13	విజయవాడ	Vijayawada (a city)
13	మగపిల్లవాడు!	boy
13	-వారు.	human epicene honorific
13	నూరు.	hundred
13	-వాళ్ళు	human epicene plural
13	సైన్సు	science
13	తొంభై	ninety
13	అన్న	elder brother
13	ఉత్తరం	sisters letter
13	అక్కజెల్లెళ్ళు	sisters letter
13	అందం	beauty
13	అక్క	elder sister;
13	డిగ్రీ	degree
13	ప్రస్తుతం	at present, currently
13	మార్కు	mark (n)
13	ఇంట్లో	locative case form of
13	అరవై	sixty
14	కృష్ణానది.	the river Krishna
14	ఏమేం	what (pl.)
14	మ్యూజియం!	museum
14	స్స్‌స్తా	bottle (n)
14	రైలు	train
14	ఉన్నది,	train
14	ఊది (	train
14	మాత్రమే	only
14	మందు	medicine
14	ఫోను	telephone
14	అంటే,	means (used to elicit
14	హర్యానా	the state of Haryana
14	కేరళ	the state of Kerala
14	జ్వరం	fever
14	ఒరిస్సా	the state of Orissa
14	కడుపు	stomach
14	బెంగాలీ	Bengali
14	నొప్పి/నెప్పి!	pain
14	తక్కిన	the remaining (adj.)
14	పిన్ని	the state of Madhya Pradesh
14	మధ్యప్రదేశ్‌	the state of Madhya Pradesh
14	'మరారీ	Marathi
14	కర్ణాటక	the state of Karnataka
14	తల	head
14	మహారాష్ట్ర	the state of Maharashtra
14	చెవి	ear
14	చెప్పు	teach
14	'ఇక/ఇంక	now onwards/hereafter
14	అబ్బ!	an interjection of grief or
14	పాఠం	lesson
14	విను	hear
14	మల్లె	jasmine
14	అమరావతి	Amaravati
14	చెట్టు	tree/plant
14	రాష్ట్రం	a political State
14	కొమ్మ	branch of a tree
14	ఆంధ్రప్రదేశ్‌	the state of Andhra Pradesh
14	టేపరికార్డర్‌	tape-recorder
14	జిల్లా	district
14	జపాన్‌	Japan
14	శివాలయం	Siva Temple
14	ఇండియా.	India
14	బౌద్దస్తూపం.	Bouddha Stupa
14	పాట	song
15	పొడుపు కథ	a riddle
15	సాయంత్రం,	evening
15	వస్తువు	a thing; an article
15	గుడి	temple
15	కొంచెం	just; a little
15	నాటకం	theatrical play
15	పక్క	side (n)
15	గుళ్ళు	plural form of  temples
15	సడి 1	to move a side; to move
15	జరుగు	to move a side; to move
15	గుళ్ళో	in the temple
15	అందరం	all of us
15	చదువు	to read; to study
15	'సినిమాహాలు,	cinema theatre
15	కదలిక	movement
15	అబద్ధం	a lie; a false statement
15	కాలు	leg
15	ఉదయం	morning
15	కొలత	measurement
15	మధ్యాహ్నం:	afternoon
15	రూపం	shape  (n)
15	ఏమో	It is not known (See
15	ఎండ	sun
15	వేడి	heat (n)
15	ఓ	dubitative marker (See
15	ఓ	O! (an address particle;
15	వెతుకు	search (v)
15	గాలి	air; wind (n)
15	బాగా	well, nicely (adv.)
15	శక్తి	energy
15	-ఏమో	dubitative particle (See
15	కాలం	time
16	సర్వర్‌	server; waiter
16	టిఫిన్‌	used as an item for tiffin tiffin; a refreshment
16	హోటల్‌	a hotel fried in deep fat
16	ఎర్రగా	red (adv.) gram
17	పంచదార	sugar
17	ఫర్దాంగు.	a furlong
17	అక్షర్లేదు	not necessary
17	చేదు.	bitter
17	చాలవు	not sufficient (pl.)
17	ఏమమ్మా	hey! (eql. fem. addressing)
17	-నుంచి/-నించి	from
17	తియ్యగా	sweetly (adv.)
17	రాత్రి	night
17	చప్పగా	insipidly (adv.)
17	పగలు	day-time
17	కషాయం	a medicated decoction
17	దూరం	distance
17	దాదాపు	approximately,
17	సుమారు.	this much
17	ఇంత	this much
17	వెయ్యి	thousand
17	-ఏం	why
17	మైలు	a mile
17	బాగానే	good/all right (with empha-
17	సుమారు	approximately,
17	దాదాపు	sis)
17	వంద	hundred
17	అలవాటు	habit
17	నూటా	hundred and .....
17	తీపి	sweetness
17	చాలు	sufficient
17	గూడా	also (a variant of  )
17	కిలోమీటరు	a kilometer
17	అంత	that much
17	ట్కెట్టు	ticket
17	సగం	half
17	గాని,	or
17	చాలదు.	not sufficient
18	చుట్టూ	around
18	పంతులు	teacher
18	తోట	garden
18	బోధన	teaching
18	ప్రాణం	life
18	భావి	future
18	బడి	school
18	నిచ్చెన	ladder
18	రోజూ	daily
18	ఆట	play; game
18	నైవేద్యం	offering
18	ఉజ్వల	bright
18	ఐకమత్యం	unity
18	బాట	path
18	ప్రతి	every
18	మనోవికాసం	mental enlightenment
18	తీరిక	leisure
18	అర్చన	worship
18	వేడుక.	mirth; merriment
19	అద్దె	Police station
19	పోలీసుస్టేషను	Police station
19	అందుకు,	that is why; for
19	వీథి	street
19	పేట	a suburb or division
19	ఓ	Oh! (interj.)
19	బిస్కెట్టు	biscuit
19	గీత	line
19	మామయ్య	meternal uncle
19	గియ్యి	draw a line/picture
19	తిను	eat
19	కొయ్యి	cut; pluck (v)
19	ఆకలి.	hunger (n)
19	మొక్క	plant (n)
19	వద్దు	a variant of  oddu
19	"""ఒద్దు"	pour (v)
19	పొయ్యి	pour (v)
19	బయల్దేరు	go out; come out;
19	అడ్రసు	address (n)
19	డైరీ	diary
19	రాయి	write
19	తొందర	hurry (n); quickness
19	సారుగు	drawer of a table or box
19	జేబు.	pocket (n)
20	చెయ్యి	cake made of do (v)
20	పో	wheat flour go (v)
20	వీలు	possibility; convenience
20	మెస్సు,	mess
20	ఊర్మో	keep quiet
20	పద	keep quiet
20	కంచం	plate used to eat food
21	రైలు స్టేషను	railway station
21	మామిడి	mango (adj.)
21	స్టేషను	station
21	దూకు,	jump (v)
21	బిఇ.	B.E. degree
21	ఎక్కు	climb
21	పరిగెత్తు	run (v.i.) ter another
21	పారిపో	run away higher place; alight
21	పట్టుకో	catch (v.)
21	బండి	cart; vehicle; train
21	-ఓయ్‌.	an epicene non-honor-
21	మిమ్మల్ని	acc. form of
21	ఏదో	something in which direction
21	ఎటు	something in which direction
22	చేతి-	oblique base of  blade
22	చేతులు	hands (pl.form of  ) knife
22	కంటి	oblique base of  inside
22	కళ్ళు	plural form of  to beat; to hit; to knock
22	కన్ను	eye
22	ఎదురుచూడు;	await; look for
22	కుడి	right-hand side (adj.)
22	ఇందులో	in this
22	కంట్లో	in the eye (locative
22	సారి	time (as in first time two
22	విపరీతంగా	severely; abundantly
22	ఎందులో	in what
22	ల్లో	a variant of locative case
22	చప్పుడు.	noise; sound (n)
22	దుమ్ము	dust (n)
22	ముల్లు	thorn
22	కళ్ళజోడు.	spectacles
22	తీవ్రంగా	severely
22	పెట్టుకో	to put on; to wear
22	కాలు,	to burn (v.i)
22	చిల్లి	behind; back side a hole
22	వెనక	behind; back side a hole
22	దోవ	path, way
22	అన్ని	so many
22	ముళ్ళు	plural form of
23	నిద్రపో	sleep (v) T.V. set)
23	నిల్నో	stand (v) Radio)
23	అను	recently say; utter
23	“అవును,	serve food yes; variant of
23	అలాగే!	dressing) Okay! All right
23	-అరా	a masculine inferior ad- dress marker
23	సోఫా	dress marker sofa
23	ఆరోగ్యం	health
24	ప్రియమైన	dear
24	పరిస్థితి	situation; circumstance
24	క్షేమం.	safe
24	అలవాటుపడు	accustom; habituate
24	చిరంజీవి	long living
24	సంగతి.	matter; news
24	వాతావరణం	climate
24	వెంటనే	immediately
24	వర్షాకాలం	rainy season
24	స్వెట్టరు	sweater
24	జరుగు	takeplace; occur
24	బహుశ	perhaps
24	కాబట్టి	because
24	పోస్టు	post; mail
24	ఉత్సాహం	interest
24	పంపు	send
24	హాస్టలు,	hostel
24	ఆశీస్సు	blessing
24	ఇన్‌స్టిట్యూట్‌	institute
24	ఇట్లు	saying so
24	ప్రజలు	people
24	కుమారుడు	son
24	ఆహారం	food
24	ప్రియమైన.	'dear' is used to express affection, love and
24	చిరంజీవి .	'long living' is used by elders in letters to refer
24	ఇట్లు -	'saying so' is used in letters before concluding the letter.
24	ఇక్కడి పరిస్థితికి అలవాటుపడుతున్నాను..	'I am getting used to the circum-
25	అంతే కాదు	not only that
25	కష్టం	difficulty
25	ఆఫీసు	office
25	అంతా	all over; every where
25	ఎంతో	so much; a lot
25	చీకటి	darkness
25	-కంటె	than (comparative marker
25	వెలుతురు	light (n)
25	ఎప్పుడూ	a book; a card board always
25	పెద్ద	to draw pictures (v.) elder (adj.)
25	చిన్న	younger (adj.)
26	ఇప్పటి-	oblique form of  acc. form of
26	'మనం	oblique form of  acc. form of
26	మేం	till; untill; upto acc. form of
26	అప్పటి-	oblique form of  acc. form of
26	నువ్వు	oblique form of  acc. form of
26	కాసేపు	a short while to be found
26	వేస్టుచెయ్యి	to waste
27	అందు	be available; be in one's
27	అద్దం	glass, mirror
27	దారం.	thread (n)
27	తిట్టు.	scold (v)
27	కర్ర	stick (n)
27	మ్యాజిక్‌	magic
27	చుట్టు	wind (v.t.)
27	ఏర్పాటు	arrangement
27	తాడు	rope (n)
27	అవతల	that side
27	మనుషులు	pl. form of
27	రాసు	tumbler
27	మనిషి	person; human being
27	ఇవతల	this side
27	ఆలస్యం	delay
27	జరుపు	move aside (v.t.)
27	గయ్యాళి	quarrelsome (fem.)
27	కుండ	pot
27	వేషం	role in a drama or cinema
27	మధ్య	middle, centre
27	వెయ్యి	play a role (in a drama
27	గుడ్డ	cloth
27	కప్పు	close; cover (v.t.)
27	డైలాగు	dialogue
27	తిప్పు	rotate, turn
27	హలో!	hello!
28	తగ్గు	reduce (v.i.)
28	పూర్తిగా.	completely
28	'బాగుచెయ్యి	repair; set right
28	ఆస్పత్రి	hospital
28	'పూర్తిచెయ్యి	finish; complete (v.tr.)
29	విద్యుచృక్తి	electricity
29	రాదూ!	auxiliary used in the sug-
29	'వృథాచెయ్యి.	waste (v.)
29	వచ్చు	an auxiliary verb denot-
29	అనిఉంది/	have/has a desire that ...
29	లోనించి	through
29	హాయిగా	happily; pleasently
29	వైపు	towards
29	ఇంతవరకు	hitherto; till this time;
29	'గుమిగూడు.	gather (v.i.)
29	వింత	something which causes
29	-వద్దు	auxilary used in the for-
29	రకరకాలు	different types
29	'తయారుచెయ్యి.	prepare; make (v.t.)
29	జూ	zoo
29	హోమ్‌వర్క్‌	homework
29	ఉత్సవం	festivity
29	లోకి	into
29	-అఆవిడ	wife (only when used
29	ఇంతకుముందు	heretofore; before
29	శ్రీరంగపట్నం	Srirangapatnam
29	-కూడదు	should not
29	గురించి	about
29	'వన్‌వేట్రాఫిక్‌	one way traffic
29	చరిత్ర	history
29	రోడ్డు	road
29	స్కూటరు.	scooter
29	పత్రిక	magazine
29	అనుకో	think; plan (v)
30	కూర	curry; vegetable
30	ఒకేసారి	at once; at a time; si-
30	కేంద్రం.	centre
30	'భోజనంచెయ్యి	to eat meal
30	స్టూలు,	a stool
30	భోజనం	meal
30	'గుర్తుచెయ్యి	remind
30	మొయ్యి	to carry (a load)
30	సెక్షను	section
30	గొడుగు,	an umbrella
30	ఒకచోట.	at one place
30	ఏయే	what kinds/sorts of
30	చేర్చు	to gather (v.intr.); to as-
31	అట్లా.	negative aspect of the in that manner (a varient
31	అట్లాగే	okay! allright (a varient false statement
32	జుట్టు	hair
32	మొన్నటి	oblique form of
32	టైపిస్టు	typist
32	రేపటి	oblique form of
32	అప్లెచెయ్యి	to apply (v.tr.)
32	పద్దతి	procedure; way of behav-
32	ఎట్లా	a variant of
32	ఎలా	ing; way of doing things
32	పరీక్షపెట్టు	to give a test
32	పనిచెయ్యి	to work (v. tr.)
32	వివరంగా	in detail
32	అప్పుడప్పుడు 1	now and then
32	కనుక్కో	to enquire
32	ముట్టుకో	to touch
32	వివరం	detail (n)
32	డోకు	vomiting (n)
32	నిర్లక్ష్యంచెయ్యి 1	to neglect
32	నవ్వు	laughter
32	అవకాశం	opportunity
32	ఆవిడె	a variant of
32	మేనేజరు.	manager
32	మర్చిపో	to forget
32	నిన్నటి	oblique form of
32	నిన్న	negligence
32	నిర్లక్ష్యం	negligence
33	వెలుస్‌	stop or cease, as rain; fall (like rain)
33	అర్జెంటుగా	fade (v.i.) urgently
33	జలుబు	cold or catarrh (n)
34	తుడుచ్‌	wipe away
34	నడుచ్‌	walk (v)
34	పెలుచ్‌.	call (v)
34	నెమ్మదిగా	gently
34	అత్తయ్య	aunt
34	వరండా	varanda
34	పలుకు	respond
34	లేచ్‌	get up
34	పెద్దగా	loudly
34	ఊడుచ్‌	sweep (v)
34	మొహం	face
34	తెరుచ్‌	open
34	ఏడుచ్‌	weep
34	పెందలాడి.	early
34	ఊరికేనే.	for no reason
35	తీర్చు	clear (a loan) (v.t.)
35	చేర్చు	join (v.t.)
35	ఇంకొంచెం.	some more
35	చేరు	join (v.i.)
35	మాడ్చు	burn (v.t.)
35	హైస్కూలు,	high school
35	మాడు	burn (v.i.)
35	ఎలిమెంటరీ	elementary school
35	పెనం	frying pan
35	తే	bring
35	గాలివాన	storm; rain with gales
35	రా	a masculine inferior ad-
35	పందిరి	pandal
35	కూలు	collapse; fall down
35	చిల్లర	money in the form of
35	తుపాకీ	gun
35	పేలు	blast (v.i.)
35	మార్చు	change (v.t.)
35	-అవే	a feminine inferior ad-
35	నోటు	note (n)
35	చినుగు	be torn
35	పేల్చు	blast (v.t.)
35	మారు.	change (v.i.)
35	-ఏ,	a feminine inferior ad-
35	బాకీ	loan; debt
35	తీరు	be cleared (as a loan)
36	పాలం	field, farm
36	ఎకరం.	acre
36	విశాఖపట్నం	Visakhapatnam
36	ఒంగోలు	Ongole
36	ఎద్దు	Ox
36	ఆవు	cow
36	గేదె	buffalo
36	పండు	ripe, yield (v.)
36	మెట్టపంట	dry crop
36	ముఖ్యంగా	mainly
36	'మెరప/మిరప	chillies
36	కంది	red-gram
36	పాగాకు	tobacco
36	వరి	paddy
36	కష్టంగా	in a difficult manner with irrigation.
36	వర్షం	from wells. rain (n.)
36	పెట్టుకో	(with  ) allow water source, support (n.)
36	దున్ను	to flow into (the field/ plough (v.)
36	చెరువు	farm) lake, tank
36	“బాబూ!”	is a polite and humble way of addressing men.  It's also
37	కా	to become; to be com-
37	గర్వం	proudness (n)
37	తను	one's self
37	తెలియదు.	is not known
37	గొప్ప	great; greatness
37	తెలియవు	are not known
37	తన	one's own; (oblique base
37	కిందటి	previous; earlier (adj.)
37	తెలుసు	is/are known (to be
37	తేడా	difference
37	లేకపోతే,	otherwise; if not
37	వైన్‌ప్రిన్సిపాల్‌	vice-principal
37	క్రితం.	previous; ago
37	వచ్చు	is/are known
37	కాంపిటీషను	competition
37	రాదు	is not known
37	పెరుగు	to grow; to increase
37	రావు	are not known
37	ప్రమోషన్‌	promotion
37	చెడిపో	to break down; to go out
37	డిపార్ట్‌మెంటల్‌	departmental
37	'పాసుకా	to pass (v.intr.)
38	నెత్తురు	blood
38	వేలు,	finger
38	కట్టు	bandage (n.)
38	మంచిగా	nicely; in a good manner
38	'బైల్దేరు	see
38	ఏ బయల్దేరు;	/start
38	జాగ్రత్తగా	carefully
38	అట్లాగా	a variant of
38	చెడ్డగా	badly, in a bad manner
38	ఆనిక్కి.	afterwards
38	ఆలస్యం చెయ్యి	delay (v)
38	ఊడు	become loose
38	ముక్కు	nose
38	దెబ్బ	blow (n)
39	లెబ్రరీ	library
39	'గుర్తుండు	remember
39	గుర్తురా	be recollected, be recalled
39	'మానెయ్యి	give up
40	'ఆయుష్తు	life time
40	పళ్ళపాడి	tooth-powder
40	అలారం.	alarm
40	టవలు	towel
40	మోగు,	ring (v.intr.)
40	దండెం	hanger
40	పళ్ళు	teeth
40	తడి	wet (adj.)
40	తోముకో	brush (v.)
40	పొడి	dry (adj.)
40	బ్రష్తు	brush (n)
40	పంటి.	oblique base of
40	నాలికబద్ద	tongue cleaner
40	గాని	unless
40	పన్ను.	tooth
41	ముసలి	assurance (41.5) aged, old(adj.)
41	మరదలు	(as in the previous/ wife's younger sister
41	పెళ్ళి	last year) marriage
41	అల్లుడు	brother son-in-law
42	కోటు	coat (n.)
42	మామూలు	bhaksheesh; tips paid
42	'జేబుదొంగ	pickpocket (n.)
42	కబుర్లు	chat (n.)
42	సంతకం	signature
42	పెరుగు	curd
42	పాడు	bad (adj.)
42	తోడుపెట్టు.	curdle (v.in)
42	సైజు	size (n.)
42	తోడు	support, help (n.)
42	'నిద్రపట్టు	get sleep
42	నీడ	shadow (n.)
42	ఛీ	nonsense
42	చెప్పు	shoe
42	షాపు	shop (n.)
42	జన్న	birth
42	కార్టూను.	cartoon
42	కాఫీపొడి	coffee powder
42	పడు,	appear in a magazine (as
42	కానుక	gift (n.)
42	కారణం	reason (n.)
43	కోపం	anger
43	కొద్దీ	a particle which can
43	ఆకాశం	sky
43	మబ్బు	cloud (n.)
43	పట్టు	overcast (v.)
43	కొంతమంది.	some people
43	ఇంతమంది.	these many people
43	అవసరం	need; necessity
43	అంతమంది.	those many people
43	'బిల్జింగు	building
43	చోటు	space (n.)
43	'పోర్టను	portion of a house to
43	పుష్పక విమానం	mysterious aircraft of
43	బోర్డు	board (n.)
43	ఫుట్‌బాల్‌	foot-ball
43	కల	dream (n.)
43	కనుక్కో	identify
43	గుర్తు	symbol; identification
44	బుట్ట	basket
44	కొలుచ్‌	measure (v.t.)
44	అల్లు	knit (v.)
