legacy	rom
A¨ ºËÏ.  C¨ Mæü$Èa.	adi balla.  idi kurcī.
1. H¨ Mæü$MæüP?  H¨ í³ÍÏ?	ēdi kukka?  ēdi pilli?
3. H¨ MæüË…?  H¨ M>Æÿ$$™èþ…?	ēdi kalaṁ?  ēdi kāyitaṁ?
2. H¨ ç³#çÜ¢Mæü…?  H¨ VæüyìþÄæý*Ææÿ…?	ēdi pustakaṁ?  ēdi gaḍiyāraṁ?
4. H¨ Vøyæþ?  H¨ ÐéMìüÍ?	ēdi gōḍa?  ēdi vākili?
A¨ í³ÍÏ.	adi pilli.
A¨ HÑ$sìý?	adi ēmiṭi?
1. A¨ Mæü$MæüP.	adi kukka.
2. A¨ Vøyæ..	adi gōḍa.
3. C¨ MæüË….	idi kalaṁ.
BÐðþ$ sîý^èþÆæÿ$.	āme ṭīcaru.
BÐðþ$ GÐèþÆæÿ$?	āme evaru?
1. BÐðþ$ yéMæütÆæÿ$.	āme ḍākṭaru.
2. DÐðþ$ çÜ$Væü$×ý.	īme suguṇa.
3. DÐðþ$ Ñ§éÅÇ¦°.	īme vidyārthini.
BÄæý$¯èþ Ðèþ*çÙtÆæÿ$.	āyana maṣṭaru.
BÄæý$¯èþ GÐèþÆæÿ$?	āyana evaru?
1. BÄæý$¯èþ yéMæütÆæÿ$.	āyana ḍākṭaru.     īyana śēkhar.
A¨	adi
C¨	idi
DÐðþ$	āme
DÐðþ$	īme
-Mæü$MæüP	kukka
-ºËÏ	balla
1. C¨ HÑ$sìý?	idi ēmiṭi?
2. A¨ HÑ$sì ?	adi ēmiṭi
3. C¨ HÑ$sìý?	idi ēmiṭi?
4. A¨ HÑ$sìý?	adi ēmiṭi?
5. DÄæý$¯èþ GÐèþÆæÿ$?	īyana evaru?
6. BÄæý$¯èþ GÐèþÆæÿ$?	āyana evaru?
7. DÐðþ$ GÐèþÆæÿ$?	īme evaru?
8. BÐðþ$ GÐèþÆæÿ$?	āme evaru?
A¨	adi
C¨	idi
BÄæý$¯èþ	āyana
DÄæý$¯èþ	īyana
BÐðþ$	āme
DÐðþ$	īme
DÐðþ$	ēmiṭi
H¨	ēdi
GÐèþÆæÿ$	evaru
H¨	ēmiṭi
H¨	ēdi
BÄæý$¯èþ / DÄæý$¯èþ GÐèþÆæÿ$?	āyana / īyana evaru?
BÐðþ$ / DÐðþ$ GÐèþÆæÿ$?	āme / īme evaru?
Æ>Ðèþ*Æ>Ðèþ# GÐèþÆæÿ$?	rāmarāvu evaru?
ÑfÄæý$ GÐèþÆæÿ$?	vijaya evaru?
A¨ / C¨ HÑ$sìý?	adi / idi ēmiṭi?
H¨ Mæü$MæüP / Vøyæþ?	ēdi kukka / gōḍa?
Æ>Ðèþ*Æ>Ðèþ# GÐèþÆæÿ$?	rāmārāvu evaru?
GÐèþÆæÿ$ Æ>Ðèþ*Æ>Ðèþ#?	evaru rāmārāvu?
&V>Ææÿ$	-gāru
yéMæütÆæÿ$V>Ææÿ$	ḍākṭarugāru
Ë™èþV>Ææÿ$	latagāru
Æ>Ðèþ*Æ>Ðèþ#V>Ææÿ$	rāmārāvugāru
BÄæý$¯èþ yéMæütÆæÿ$V>Ææÿ$.	āyana ḍākṭarugāru.
BÐðþ$ ÎËV>Ææÿ$.	āme līlagāru.
GÐèþÆæÿ$ ïÜ™èþV>Ææÿ$	evaru sītagāru
AË	ala
Br	āṭa          lata
™èþË	tala
AË™èþ	alata
A™èþË	atala
Ë™èþ™èþË	latatala
¯èþVæü   ¯èþçÜ   VæüçÜ   B¯èþ   ™èþ¯èþ   ¯èþr¯èþ   BË¯èþ	naga  nasa   gasa    āna    tana    naṭana    ālana
CË Cr Væü×ýVæü×ý	ila iṭa gaṇagaṇa
…	ṁ
…	ṁ
…	ṁ
™èþ	ta
r	ṭa
Væü	ga
Væü…™èþ	gaṁta
Væü…r	gaṁṭa
Væü…Væü	gaṁga
çÜVæü…	sagaṁ
Væü…r Væü…™èþ	gaṁṭa gaṁta layaṁ ālayaṁ āyana
Ææÿ…Væü… ™èþÆæÿ…Væü… A…™èþ A…™èþ… A¯èþ…™èþ… C…™èþ	raṁgaṁ taraṁgaṁ aṁta aṁtaṁ anaṁtaṁ iṁta
DVæü	īga
¯èþVæüÆæÿ… Væü…Væü ÆæÿçÜ…	nagaraṁ gaṁga rasaṁ sarasaṁ jhaṇajhaṇa
¯èþÄæý$… ¯èþÄæý$¯èþ… ™èþÆæÿ… C™èþÆæÿ… çÜVæü…	nayaṁ nayanaṁ taraṁ itaraṁ sagaṁ gaṇagaṇa
Eyæþ™èþ	uḍata
Fyæþ	ūḍa
§æþyæþ	daḍa
Væü§æþ	gada
«§æþVæü«§æþVæü	dhagadhaga
Væü…«§æþ…	gaṁdhaṁ aṁdaṁ
Væüyæþ	gaḍa
Byæþ	āḍa
Ææÿ£æþ…	rathaṁ
«§æþ¯èþ…	dhanaṁ
™èþËVæüyæþ	talagaḍa daya
E§æþÄæý$… E…yæþ	udayaṁ uṁḍa
«§æþÆæÿ	dhara
…	ṁ
¯Œþ	n
§æþ	da
«§æþ	dha
×Šý	ṇ
yæþ	ḍa
A	di kāyi
C Ë….	di ka
A  Væü Ææÿ….	di ḍiyā
BÄæý$¯èþ Ææÿ .	vi
DÄæý$¯èþ  Äæý$×ý	nārā
B  Ë™èþ.	me
D	me sugu
D Ë	me lī
B çÜÆæÿçÜ.	me
WÇ : ¯èþÐèþ$ÝëPÆæÿÐèþ$…yîþ!	giri : namaskāramaṁḍī.
Æ>Ðèþ# : ¯èþÐèþ$ÝëPÆæÿ…. Ò$Ææÿ$ GÐèþÆæÿ$?	rāvu : namaskāraṁ. mīru evaru?
WÇ : ¯óþ¯èþ$ Mæü¯èþ²yæþ Ñ§éÅÇ¦°.	giri : nēnu kannaḍa vidyārthini.
C™èþ¯èþ$ ™ðþË$Væü$ Ñ§éÅÇ¦.	itanu telugu vidyārthi.
A™èþ¯èþ$ ™èþÑ$âæý Ñ§éÅÇ¦.	atanu tamiḷa vidyārthi.
BÐðþ$ ™ðþË$Væü$ Ñ§éÅÇ¦°.	āme telugu vidyārthini.
DÐðþ$ Ðèþ$ËÄæý*âæý Ñ§éÅÇ¦°.	īme malayāḷa vidyārthini.
Æ>Ðèþ# : ¯éõ³Ææÿ$ Æ>Ðèþ*Æ>Ðèþ#.	ravu : nā pēru rāmārāvu.
DÄæý$¯èþ õ³Ææÿ$ ÔèýÆæÿÃV>Ææÿ$.	īyana pēru śarmagāru.
BÄæý$¯èþ õ³Ææÿ$ Æ>gêÆ>ÐŒþ$.	āyana pēru rājārām.
VúÇ : ¯èþÐèþ$ÝëPÆæÿÐèþ$…yîþ! ¯é õ³Ææÿ$ VúÇ.	gauri : namaskāramaṁḍī. nā pēru gauri.
¯óþ¯èþ$ íßý…© Ñ§éÅÇ¦°°.	nēnu hiṁdī vidyārthinini.
DÐðþ$ õ³Ææÿ$ çÜÆæÿâæý. BÐðþ$ õ³Ææÿ$ WÇf.	īme pēru saraḷa. āme pēru girija.
Æ>Ðèþ# : GÐèþÇ õ³Ææÿ$ WÇf?	rāvu : evari pēru girija?
WÇf : ¯é õ³Ææÿ…yîþ!	girija : nā pēraṁḍī.
Æ>Ðèþ# : Ò$ õ³ÆóÿÑ$r…yîþ?	rāvu : mī pērēmiṭanḍī?
Æ>Ðèþ# : GÐèþÇ õ³Ææÿ$ ÆæÿÑ?	rāvu : evari pēru ravi?
WÇ : C™èþ° õ³Ææÿ…yîþ!	giri : itani pēraṁḍī!
VúÇ : Ò$ÆðÿÐèþÆæÿ…yîþ?	gowri : mīrevaranḍī?
^ðþç³µ…yìþ. ¯óþ¯ðþÐèþÇ°?	rāvu : ēmaṁḍī, rājārāmgārū!
Æ>gêÆ>ÐŒþ$ : Ò$Ææÿ$ {í³°Þ´ëÌŒýV>Ææÿ$	rājārām : mīru prinsipālgāru.
Vøí³ : ÝëÆŠÿ! M>ïœ!	gopi : sār! kāfi!
VúÇ : A™èþ¯ðþÐèþÆæÿ…yîþ?	gowri : atanevaraṁḍī?
Æ>Ðèþ# : HÐèþ$Äæý*Å! ^ðþç³š. ¯èþ$ÐðþÓÐèþÇÑ?	rāvu : ēmayyā! ceppu nuvvevarivi?
Vøí³ : ¯óþ¯èþ$ Asñý…yæþÇ².	gopi : nēnu aṭeṁḍarni.
Æ>gêÆ>ÐŒþ$ : A™èþ¯èþ$ Asñý…yæþÆæÿ$.	rājārām : atanu aṭeṁḍaru.
Vøí³ : ¯é õ³Ææÿ$ Vøí³.	gōpi : nā pēru gōpi.
Æ>Ðèþ# : A§óþÑ$sìý? BÄæý$¯ðþÐèþÆæÿ$?	rāvu : adēmiṭi? āyānevaru?
Ò$Ææÿ$ GÐèþÆæÿ$? (Ðèþ*çÙtÆæÿ$)	mīru evaru? (māṣṭaru)
¯óþ¯èþ$ Ðèþ*çÙtÇ².	nēnu māṣṭarni
1. Ò$Ææÿ$ GÐèþÆæÿ$? (yéMæütÆæÿ$)	mīru evaru? (ḍākṭaru)
3. Ò$Ææÿ$ GÐèþÆæÿ$? (ÆæÿÑ)	mīru evaru? (ravi)
2. Ò$Ææÿ$ GÐèþÆæÿ$? (Ñ§éÅ )	mīru evaru? (vidyārthi)
4. Ò$Ææÿ$ GÐèþÆæÿ$? (Ñ§éÅÇ¦°)	mīru evaru? (vidyārthini)
A™èþ¯èþ$ GÐèþÆæÿ$? (yéMæütÆæÿ$)	atanu evaru? (ḍākṭaru)
A™èþ¯èþ$ yéMæütÆæÿ$.	atanu ḍākṭaru.
1. C™èþ¯èþ$ GÐèþÆæÿ$? (Ñ§éÅÇ¦)	itanu evaru? (vidyārthi)
3. BÐðþ$ GÐèþÆæÿ$? (Ñ§éÅÇ¦°)	āme evaru? (vidyārthini)
2. DÐðþ$ GÐèþÆæÿ$? (çÜÆæÿâæý)	īme evaru? (sarala)
4. A™èþ¯èþ$ GÐèþÆæÿ$? (çßýÇ)	atanu evaru? (hari)
¯óþ¯èþ$ GÐèþÇ°? (Ðèþ*çÙtÆæÿ$)	nēnu evarini? (māṣṭaru) mīru māṣṭarugāru.
1. ¯óþ¯èþ$ GÐèþÇ°? (yéMæütÆæÿ$)	nēnu evarini? (ḍākṭaru)
3. ¯óþ¯èþ$ GÐèþÇ°? (sîý^èþÆæÿ$)	nēnu evarini? (ṭīcharu)
2. ¯óþ¯èþ$ GÐèþÇ°? (ïÜ™èþ)	nēnu evarini? (sīta)
4. ¯óþ¯èþ$ GÐèþÇ°? (WÇ)	nēnu evarini? (giri)
¯óþ¯èþ$ GÐèþÇ°? (Ñ§éÅÇ¦)	nēnu evarini? (vidyārthi) nuvvu vidyārthivi.
3. ¯óþ¯èþ$ GÐèþÇ°? (Ë™èþ)	nēnu evarini? (lata)
2. ¯óþ¯èþ$ GÐèþÇ°? (Asñý…yæþÆæÿ$)	nēnu evarini? (aṭeṁḍaru)
4. ¯óþ¯èþ$ GÐèþÇ°? (WÇ)	nēnu evarini? (giri)
Ò$Ææÿ$ ÆæÿÑ.	mīru ravi
Ò$ õ³Ææÿ$ ÆæÿÑ	mī pēru ravi
1. ¯óþ¯èþ$ WÇ°.	nēnu girini.
4. A™èþ¯èþ$ ¯éÆ>Äæý$×ý.	atanu nārāyaṇa.
2. C™èþ¯èþ$ §æþÄæý*°«¨.	itanu dayānidhi.
5. BÄæý$¯èþ Æ>Ðèþ*Æ>Ðèþ#.	āyana rāmārāvu.
6. BÐðþ$ WÇf.	āme girija.
BÄæý$¯èþ GÐèþÆæÿ$?	āyana evaru.
^ðþç³µ…yìþ, BÄæý$¯èþ õ³ÆóÿÑ$sìý?	ceppaṁḍi, āyana pērēmiṭi?
1. ¯óþ¯èþ$ GÐèþÇ°?	nēnu evarini?
2. ¯èþ$Ðèþ#Ó GÐèþÇÑ?	nuvvu evarivi?
3. Ò$Ææÿ$ GÐèþÆæÿ$?	mīru evaru?
4. BÐðþ$ GÐèþÆæÿ$?	āme evaru?
5. DÐðþ$ GÐèþÆæÿ$?	īme evaru?
6. DÄæý$¯èþ GÐèþÆæÿ$?	īyana evaru?
A™èþ¯èþ$ GÐèþÆæÿ$?	atanu evaru?
A™èþ¯èþ$ GÐèþÆæÿ…yîþ?	atanu evaraṁḍī?
1. BÐðþ$ õ³ÆóÿÑ$sìý?	āme pērēmiṭi?
2. BÐðþ$ çÜÆæÿâæý.	āme saraḷa.
3. Ò$ÆðÿÐèþÆæÿ$?	mīrevaru?
± õ³Ææÿ$ ^ðþç³š.	nī pēru ceppu.
± õ³Ææÿ$ Mæü*yé ^ðþç³š.	nī pēru kūḍā ceppu.
1. A™èþ° õ³Ææÿ$ ^ðþç³µ…yìþ. 2. ¯é õ³Ææÿ$ ^ðþç³š 3. Ò$ õ³Ææÿ$ ^ðþç³µ…yìþ.	atani pēru ceppaṁḍi.    nā pēru ceppu.     mī pēru ceppaṁḍi.
A™èþ¯èþ$	atanu
C™èþ¯èþ$	itanu
Ò$Ææÿ$	mīru
¯óþ¯èþ$	nēnu
ÑfÄæý$	vijaya
¯èþ$Ðèþ#Ó	nuvvu
MæüÐèþ$Ë°	kamalani
Ò$Ææÿ$	mīru
Ñ§éÅÇ¦Ñ	vidyārthivi
A™èþ¯èþ$	atanu
Ðèþ*çÙtÆæÿ$V>Ææÿ$	māṣṭarugāru
BÐðþ$	āme
yéMæütÆæÿ$	ḍākṭaru
Ò$Ææÿ$ GÐèþÆæÿ$? (yéMæütÆæÿ$)	mīru evaru? (ḍākṭaru)
¯óþ¯èþ$ yéMæütÇ².	nēnu ḍākṭarni.
1. Ò$Ææÿ$ GÐèþÆæÿ$? (sîý^èþÆæÿ$)	mīru evaru? (ṭīcaru)
2. ¯èþ$Ðèþ#Ó GÐèþÇÑ? (Ñ§éÅÇ¦)	nuvvu evarivi? (vidyārthi)
3. A™èþ¯èþ$ GÐèþÆæÿ$? (Asñý…yæþÆæÿ$)	atanu evaru? (aṭeṁḍaru)
4. BÐðþ$ GÐèþÆæÿ$? (Ñ§éÅÇ¦°)	āme evaru? (vidyārthini)
(¯óþ¯èþ$) õ³Ææÿ$ Æ>k. ¯é õ³Ææÿ$ Æ>k.	(nēnu) pēru rāju. nā pēru rāju.
(¯èþ$Ðèþ#Ó) õ³Ææÿ$ ÆæÿÑ.	(nuvvu) pēru ravi.
(A™èþ¯èþ$) õ³Ææÿ$ WÇ.	(atanu) pēru giri.
(C™èþ¯èþ$) õ³Ææÿ$ HÑ$sìý?.	(itanu) pēru ēmiṭi?
(BÄæý$¯èþ) õ³Ææÿ$ Æ>Ðèþ$Äæý$Å.	(āyana) pēru rāmayya.
(BÐðþ$) õ³Ææÿ$ ÎË.	(āme) pēru līla.
(Ò$Ææÿ$) õ³Ææÿ$ ÑfÄæý$.	(mīru) pēru vijaya.
1. õ³Ææÿ$ + HÑ$sìý	pēru
= õ³ÆóÿÑ$sìý?	pērēmiṭi?
2. BÄæý$¯èþ + GÐèþÆæÿ$	āyana
= BÄæý$¯ðþÐèþÆæÿ$?	āyanevaru?
3. ¯óþ¯èþ$	nēnu
+ GÐèþÇ° = ¯óþ¯ðþÐèþÇ°?	evarini
4. A¨	adi
+ HÑ$sìý	ēmiṭi
= A§óþÑ$sìý?	adēmiṭi?
5. GÐèþÆæÿ$ + BÄæý$¯èþ = GÐèþÆ>Äæý$¯èþ?	evaru
6. C¨	idi
+ A…yîþ	aṁḍī
= C§æþ…yîþ	idaṁḍī
7. HÑ$sìý + A…yîþ	ēmiṭi
= HÑ$r…yîþ	ēmiṭaṁḍī
8. H¨	ēdi
+ A…yîþ	aṁḍī
= H§æþ…yîþ	ēdaṁḍī
9. õ³Ææÿ$ + HÑ$sìý	pēru
+ A…yîþ = õ³ÆóÿÑ$r…yîþ	aṁḍī
10. BÄæý$¯èþ + GÐèþÆæÿ$	āyana
+ A…yîþ = BÄæý$¯ðþÐèþÆæÿ…yîþ	aṁḍī
1. A™èþ¯èþ$ + GÐèþÆæÿ$ =	atanu
2. HÑ$sìý + A…yîþ =	ēmiṭi
3. C™èþ¯èþ$ + GÐèþÆæÿ$ + A…yîþ =	itanu
4. BÄæý$¯èþ + GÐèþÆæÿ$ =	āyana
5. A¨	adi
+ HÑ$sìý =	ēmiṭi
6. C¨	idi
+ HÑ$sìý + A…yîþ =	ēmiṭi
7. õ³Ææÿ$ + HÑ$sìý + A…yîþ =	pēru
¯é	nā
õ³Ææÿ$	pēru
Æ>Ðèþ$¯èþÆæÿíÜ…çßý…	rāmanarasiṁhaṁ
A™èþ¯èþ$	atanu
™èþÑ$âæý	tamiḷa
Ñ§éÅÇ¦	vidyārthi
¯óþ¯èþ$	nēnu
¯èþ$Ðèþ#Ó	nuvvu
C™èþ¯èþ$	atanu
DÄæý$¯èþ	āyana
C™èþ¯èþ$	atanu
DÄæý$¯èþ	itanu
BÐðþ$	āme
BÄæý$¯èþ ÆæÿÑV>Ææÿ$.	āyana ravigāru.
A™èþ¯èþ$ WÇ.	atanu giri.
BÐðþ$ Ë™èþV>Ææÿ$.	āme latagāru.
BÐðþ$ ÑfÄæý$.	āme vijaya.
¯óþ¯èþ$	nēnu
¯óþ¯èþ$ ÆæÿÑ&°.	nēnu ravi-ni.
¯èþ$Ðèþ#Ó WÇ&Ñ.	nuvvu giri-vi.
¯óþ¯èþ$ Ë™èþ&°.	nēnu lata-ni
¯èþ$Ðèþ#Ó ÎË&Ñ.	nuvvu līla-vi.
¯óþ¯èþ$ GÐèþÇ°?	nēnu evarini?
¯èþ$Ðèþ#Ó GÐèþÇÑ?	nuvvu evarivi?
Ò$Ææÿ$ GÐèþÆæÿ$?	mīru evaru?
BÄæý$¯èþ GÐèþÆæÿ$?	āyana evaru?
A™èþ¯èþ$ GÐèþÆæÿ$?	atanu evaru?
BÐðþ$ GÐèþÆæÿ$?	āme evaru?
± õ³Ææÿ$ ^ðþç³š.	nī pēru ceppu.
Ò$ õ³Ææÿ$ ^ðþç³µ…yìþ.	mī pēru ceppaṁḍi.
Ò$ õ³Ææÿ$ ^ðþç³µ…yìþ.	-aṁḍi
HÐèþ$…yîþ, Æ>Ðèþ*Æ>Ðèþ#V>Ææÿ*!	ēmaṁḍī rāmārāvugāru!
HÐèþ$…yîþ ïÜ™èþV>Ææÿ*!	ēmaṁḍī sītagāru!
HÐèþ$Äæý*Å, ÆæÿÒ!	ēmayyā ravī!
&A…yîþ	-gāru
&V>Ææÿ$	-aṁḍī.
&A…yîþ	-aṁḍī
&V>Ææÿ$	-gāru
&V>Ææÿ$	-aṁḍī
ÆæÿÑ GÐèþÆæÿ…yîþ?	ravi evaraṁḍī?
ÆæÿÑV>Ææÿ$ GÐèþÆæÿ$?	ravigāru evaru?
ÆæÿÑV>Ææÿ$ GÐèþÆæÿ…yîþ?	ravigāru evaraṁḍī?
¯èþÐèþ$ÝëPÆæÿ… + A…yîþ = ¯èþÐèþ$ÝëPÆæÿÐèþ$…yîþ!	namaskāraṁ aṁḍī namaskāramaṁḍī!
C¨ MæüË… + A…yîþ = C¨ MæüËÐèþ$…yîþ!	idi kalaṁ
…	sunna
= ÐŒþ$	m
Ææÿ$ + °	ru
= Ç²	ni
= Ç²	rni
yéMæütÆæÿ$ + °	ḍākṭaru
= yéMæütÇ²	ni
= yéMæütÇ²	ḍākṭarni
^ðþç³š + A…yìþ = ^ðþç³µ…yìþ	ceppu
HÑ$sìý + A…yîþ = HÑ$r…yîþþ	ēmiṭi
GÐèþÆæÿ$ + A…yîþ = GÐèþÆæÿ…yîþ	evaru
BÄæý$¯èþ + A…yîþ = BÄæý$¯èþ…yîþ	āyana
¯óþ¯èþ$ + GÐèþÇ° = ¯óþ¯ðþÐèþÇ°?	nēnu
=	evarini nēnevarini?
¯óþ¯èþ$ GÐèþÇ°?/¯óþ¯ðþÐèþÇ°?	nēnu evarini?/nēnevarini?
BÄæý$¯èþ + GÐèþÆæÿ$ = BÄæý$¯ðþÐèþÆæÿ$?	āyana evaru
=	āyanevaru?
BÄæý$¯èþ GÐèþÆæÿ$?/BÄæý$¯ðþÐèþÆæÿ$?	āyana evaru?/āyanevaru?
C¨ + HÑ$sìý = C§óþÑ$sìý?	idi
=	ēmiṭi
=	idēmiṭi?
C¨ HÑ$sìý?/C§óþÑ$sìý?	idi ēmiṭi?/idēmiṭi?
G…™èþ	eṁta
GÆæÿ	era
H™èþ…	ētaṁ
ç³yæþÐèþ	paḍava
ç³Væü	paga
ç³Væüyæþ… ç³yæþÐèþ$Ææÿ	pagaḍaṁ paḍamara gaḍapa
ç³…r	paṁṭa
BÐèþÆæÿ×ý	āvaraṇa
çœË…	phalaṁ
EçÙ	uṣa
çœ$¯èþ…	ghanaṁ ghanata saṁghaṁ
ÐèþË	vala
ÐèþÆæÿ…	varaṁ
Ðèþ…§æþ	vaṁda
Ðèþ…r	vaṁṭa
Ðèþ$…r	maṁṭa
Ðèþ$Ææÿ	mara
Ðèþ$uæÿ…	maṭham mamata mataṁ
Ðèþ$§æþ…	madaṁ
ÆæÿÐèþ$	rama
EÐèþ$	uma
Açßý…	ahaṁ
Fçßý	ūha
çßýÆæÿçßýÆæÿ	harahara
A  H	di miṭi
C  º	di lla
DÄæý$¯èþ  Äæý$×ý	nārā
B  EçÙ	me
D  çÜÆæÿâæý	me
çßý  GÐèþ ?	ri ru
çßý  Ðèþ$Ë âæý	ri yā vidyārthi
¯èþÐèþ$ ÆæÿÐèþ$…	skā ḍī
fÄæý$	vi gāru
çßý  Ðèþ$Ë âæý	nā pēru rā sim
DÄæý$¯èþ ™èþ…{yìþ õ³Ææÿ$ Ððþ*¡ÌêÌŒý.	īyana taṁḍri pēru mōtīlāl.
™èþÍÏ õ³Ææÿ$ çÜÓÆæÿ*ç³Æ>×ìý.	talli pēru svarūparāṇī.
MæüÐèþ$Ë fÐèþçßýÆŠÿÌêÌŒý ¯ðþ[çßý* ¿êÆæÿÅ.	kamala javaharlāl nehrū bhārya.
C…¨Ææÿ fÐèþçßýÆŠÿÌêÌŒý¯ðþ{çßý* Mæü*™èþ$Ææÿ$.	iṁdira javaharlāl nehrū kūturu.
BÐðþ$ Ððþ*¡ÌêÌŒý Ðèþ$¯èþÐèþÆ>Ë$.	āme mōtilāl manavarālu.
BÐðþ$ ¿æýÆæÿ¢ õ³Ææÿ$ íœÆøgŒýV>…«©.	āme bharta pēru firōz gāṁdhi.
Æ>iÐŒþ C…¨Æ>V>…«© Möyæþ$Mæü$.	rājīv iṁdirāgāṁdhī koḍuku.
BÄæý$¯èþ ¯ðþ{çßý* Ðèþ$¯èþÐèþyæþ$.	āyana nehrū manavaḍu.
Mæü*™èþ$Æ>?	vinōd : ī pāpa evaru? nī snēhituḍi
Æ>Ðèþ$ : AÐèþ#¯èþ$. Mæü*Æøa!	rāma : avunu. kūrcō.
Ñ¯ø§Šþ : ´ë´ë! A¨ H… ç³#çÜ¢Mæü…?	vinōd : pāpā! adi ēṁ pustakaṁ?
A¨ C…XÏçÙ$ ç³#çÜ¢Mæü….	pāpa : idi nā telugu pustakamaṁḍī.
Ñ¯ø§Šþ : §é° õ³ÆóÿÑ$sìý?	vinōd : dāni pērēmiṭi?
´ëç³ : §óþ° õ³Ææÿ…yîþ?	pāpa : dēni pēraṁḍī?
Ñ¯ø§Šþ : ©° õ³Ææÿ$.	vinōd : dīni pēru.
©° õ³Ææÿ$  fÐèþçßýÆŠÿ  A…yîþ!	pāpa : telugu pustakaṁ pērā?
