guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
Id8b9c5d9495a	32	19	ÔèýÆæÿÃ	I have an important business with him.  That has to be done by tomorrow.  His style is as though holding others by hair; otherwise surrendering.  That doesn’t work with me.  By what time he would come?	శర్మ: నాకు వాడితో ముఖ్యమైన పని ఉంది. అది రేపటి లోగా చెయ్యాలి. వాడి పద్ధతి అందితే జొష్టు అందోపోతే తాళ్ళు లాగా ఉంది. అదినా దగ్గర పనిచెయ్యదు. వాడు ఎప్పటికి వస్తాడు?	ocr		ÔèýÆæÿÃ : ¯éMæü$ Ðéyìþ™ø Ðèþ$$QÅÐðþ$O¯èþ ç³° E…¨. A¨ Æóÿç³sìý ÌZV> ^ðþÄæý*ÅÍ.  Ðéyìþ A…¨™óþ kr$t A…§æþMæü´ù™óþ ç³§æþ®† M>âæý$å ÌêV> E…¨.  A¨ ¯é §æþVæüYÆæÿ ç³°^ðþÄæý$Å§æþ$. Ðéyæþ$ Gç³µsìýMìü ÐèþÝë¢yæþ$?	2:309.7;2:326.3;2:342.7;2:342.9;2:359.2;2:359.5;2:376.0;2:392.6	no-rom
Ia3bc86651914	32	20	X™èþ	He will come in an hour.  What shall I give you?  Shall I give you coffee or tea?	గీత: ఇంకొక గంటలో వస్తాడు. నీకు ఏం ఇవ్వను? టీ ఇవ్వనా? కాఫీ ఇవ్వనా?	ocr		X™èþ : C…MöMæü Væü…rÌZ ÐèþÝë¢yæþ$.  ±Mæü$ H… CÐèþÓ¯èþ$?  sîý CÐèþÓ¯é? M>ïœ CÐèþÓ¯é?	2:425.8;2:442.3;2:458.9	no-rom
Ic0370926228c	32	21	ÔèýÆæÿÃ	I get stomachache if I drink coffee.	శర్మ: కాఫీ తాగితే నాకు కడుపులో నెప్పి వస్తుంది.	ocr		ÔèýÆæÿÃ : M>ïœ ™éW™óþ ¯éMæü$ Mæüyæþ$ç³#ÌZ ¯ðþí³µ ÐèþçÜ$¢…¨.	2:492.1;2:508.6	no-rom
Ia3b573f896ee	32	22	X™èþ	Then, don’t you drink coffee daily?	గీత. అయితే నువ్వు రోజూ కాఫీ తాగవా?	ocr		X™èþ : AÆÿ$$™óþ ¯èþ$Ðèþ#Ó Æøl M>ïœ ™éVæüÐé?	2:541.8	no-rom
I697dca9b66ce	32	23	ÔèýÆæÿÃ	Not daily.  I will drink now and then.	శర్మ 2 రోజూ తాగను; అప్పుడప్పుడు తాగుతాను.	ocr		ÔèýÆæÿÃ : Æøl ™éVæü¯èþ$; Aç³šyæþç³šyæþ$ ™éVæü$™é¯èþ$.	2:574.9;2:591.5	no-rom
Id033c83972f8	32	24	Ððþ*çßý¯Œþ	What will you do if you don’t get tea?	మోహన్‌: మరి టీ దొరకకపోతే ఏం చేస్తావు?	ocr		Ððþ*çßý¯Œþ: Ðèþ$Ç sîý §öÆæÿMæüMæü´ù™óþ H… ^óþÝë¢Ðèþ#?	2:624.7	no-rom
Ib485993c6a3d	32	25	ÔèýÆæÿÃ	I will keep quiet	శర్మ: ఊర్ముంటాను.	ocr		ÔèýÆæÿÃ : FÆæÿ$P…sê¯èþ$.	3:160.6	no-rom
I8543d59fb3dc	32	26	Ððþ*çßý¯Œþ	Don’t you drink milk?	మోహన్‌: పాలు తాగవా?	ocr		Ððþ*çßý¯Œþ: ´ëË$ ™éVæüÐé?	3:193.7	no-rom
I8c38d6c5a401	32	27	ÔèýÆæÿÃ	I will vomit if I touch (take) milk.	శర్మ: పాలు ముట్టుకుంటే నాకు డోకు వస్తుంది.	ocr		ÔèýÆæÿÃ : ´ëË$ Ðèþ$$r$tMæü$…sôý ¯éMæü$ yøMæü$ ÐèþçÜ$¢…¨.	3:226.9;3:243.4	no-rom
I01a41578ffc2	32	28	X™èþ	I am getting a fit of laughter on listening your words.  Take this tea. Shall I put (add) some more sugar?	గీత: నీ మాటలు వింటే నాకు నవ్వు వస్తోంది. ఇదుగో టీ! పంచదార ఇంకా కొంచెం వెయ్యనా?	ocr		X™èþ : ± Ðèþ*rË$ Ñ…sôý ¯éMæü$ ¯èþÐèþ#Ó ÐèþÝù¢…¨.  C§æþ$Vø sîý!  ç³…^èþ§éÆæÿ C…M> Mö…^ðþ… ÐðþÄæý$Å¯é?	3:276.6;3:293.2;3:309.7	no-rom
Iaad13acc1afb	32	29	ÔèýÆæÿÃ	Not necessary.  Tea is fine. What am I to do if Hari doesn’t come now?	శర్మ: అకక్లేదు. టీ బాగుంది. ఇప్పుడు హరి రాకపోతే ఏం చెయ్యను?	ocr		ÔèýÆæÿÃ : AMæüPÆóÿÏ§æþ$. sîý »êVæü$…¨.  Cç³šyæþ$ çßýÇ Æ>Mæü´ù™óþ H… ^ðþÄæý$Å¯èþ$?	3:342.9;3:359.5	no-rom
I5fd86c78eff3	32	30	Ððþ*çßý¯Œþ	Wait for sometime.  If he doesn’t come by then go to his house. Shall  we also come with you?	మోహన్‌: కొంచెం సేపు చూడు. అప్పటికి కూడా రాకపోతే వాళ్ళ ఇంటికే	ocr		Ððþ*çßý¯Œþ: Mö…^ðþ… õÜç³# ^èþ*yæþ$.  Aç³µsìýMìü Mæü*yé Æ>Mæü´ù™óþ Ðéâæýå C…sìýMóü Ððþâæý$å.  Ðóþ$ Væü*yé Æ>Ðèþ*?	3:392.6;3:409.2;3:426.4	no-rom
I9f773a3afa24	32	31	ÔèýÆæÿÃ	Come on!  Let’s go.  From there we will go to my house.	శర్మ: రాండి పోదాం. అక్కజ్ణించి మా ఇంటికి పోదాం.	ocr		ÔèýÆæÿÃ : Æ>…yìþ ´ù§é….  AMæüP×ìý~…_ Ðèþ* C…sìýMìü ´ù§é….	3:460.0;3:476.5	no-rom
Ie1565d63c125	32	32	X™èþ	What shall we do in your house? Your wife also will not be there.	గీత : మీ ఇంట్లో ఏం చెయ్యం? మీ ఆవిడ కూడా ఉండదు.	ocr		X™èþ : Ò$ C…sZÏ H… ^ðþÄæý$Å…?  Ò$ BÑyæþ Mæü*yé E…yæþ§æþ$.	3:509.7;3:526.3	no-rom
Ic3768d0db575	32	33	ÔèýÆæÿÃ	It is a holiday today for her school.  She would be at home. Gopi!  Don’t forget to apply.  Negligence in such matters is not good. That won’t work with me sir! I work like this : either I pull their hair I kneel at their feet.	శర్మ: వాళ్ళ స్కూలుకు ఇవ్వేళ సెలవు. ఇంట్లోనే ఉంటుంది. గోపీ! అప్టై చెయ్యటం మర్చిపోకు. ఇటువంటి విషయాలలో నిర్లక్ష్యం మంచిది కాదు. నా పద్ధతి అందితే జుట్టు అందక అది నా దగ్గరపని చెయ్యదు సర్‌! పోతే కాళ్లు!	ocr		ÔèýÆæÿÃ: : Ðéâæýå çÜ*PË$Mæü$ CÐóþÓâæý òÜËÐèþ#. C…sZÏ¯óþ E…r$…¨.  Vøï³!  Aò³•Ï ^ðþÄæý$År… Ðèþ$Ça´ùMæü$.  Cr$Ðèþ…sìý ÑçÙÄæý*ËÌZ °ÆæÿÏ„æüüÅ… Ðèþ$…_¨ M>§æþ$. ¯é ç³§æþ®† A…¨™óþ kr$t A…§æþMæü A¨ ¯é §æþVæüYÆæÿ ç³° ^ðþÄæý$Å§æþ$ ÝëÆŠÿ! ´ù™óþ M>âæý$Ï!	3:559.4;3:576.0;3:592.6;3:609.1;3:625.7;4:165.8;4:166.2;4:181.2	no-rom
